z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,province,year,split
0.22819938,0.057142083,0.49958128,-0.46075213,-0.028146025,-0.7078943,-0.22550066,0.031192167,-0.93035394,0.26904815,04 Barahona,2023,test
-0.12145717,0.25540555,2.4424882,1.1021506,0.47175974,-0.4927047,-1.3220934,1.2555888,0.35610563,0.3184165,05 Dajabón,2015,train
1.4070297,0.78754264,1.7820804,-0.39151922,-1.5975504,-0.15273988,-0.58546495,0.42772102,1.3177756,0.1923937,05 Dajabón,2016,train
1.5567615,-0.9312135,1.6058344,1.2062624,-0.86476004,-0.8555467,-1.3303801,1.3251796,-0.98154444,0.3369005,05 Dajabón,2017,train
-0.47854078,-0.41113538,0.07532018,1.1913669,-0.49471596,-1.7737771,-0.48863083,1.2434237,-0.029402152,1.8045745,05 Dajabón,2018,train
-0.20402741,0.34696835,1.3124695,-0.04919588,-0.4005144,-1.9653053,-1.1963773,0.59223956,-0.049767483,-0.075725585,05 Dajabón,2019,train
1.3987128,-0.16335022,0.77187747,1.943263,-0.48250774,-0.38746837,-0.54866415,1.1064626,0.2520044,1.6664791,05 Dajabón,2020,val
0.28941277,-0.3426717,0.87390333,1.2075298,-0.7225564,-1.348304,-1.0562108,0.29457855,-0.13680744,0.55634993,05 Dajabón,2021,val
0.41622555,-0.0954643,1.3227229,0.5348023,-1.0842518,-1.1562778,-0.8118839,0.26161003,0.117263176,0.22182392,05 Dajabón,2022,test
0.6218231,-0.16687039,1.4924014,0.1924491,-0.46360305,-1.4856092,-1.1986498,1.2738537,-0.42982528,-0.056772426,05 Dajabón,2023,test
0.020014007,0.4158672,0.16529661,0.71766585,1.4372092,0.76324207,-0.4978897,0.11493834,0.47579646,-0.81285465,06 Duarte,2015,train
1.322324,0.6287579,-0.34579942,0.022187194,0.253838,1.0903845,0.144635,-0.25766507,0.91183084,-0.57504785,06 Duarte,2016,train
1.69248,-0.83511317,-0.83822674,0.09280792,-0.64935166,0.17528878,-0.30588254,0.16905396,-1.0114523,-1.1767278,06 Duarte,2017,train
-0.10887365,-0.7895668,-1.9585164,-0.02042055,0.35502586,0.013631523,-0.8471796,0.36130947,-0.541793,-0.33318567,06 Duarte,2018,train
0.041242693,-0.20680481,-0.3369897,-0.22478445,0.6895206,-0.10345093,-0.64775574,0.49951777,-0.26190388,-1.3973435,06 Duarte,2019,train
1.3475647,0.024187531,-0.6325949,0.14596629,-0.035165165,0.336158,-0.12288918,-0.12080464,0.10596529,-0.8085254,06 Duarte,2020,val
0.6613296,-0.53451127,-1.0254996,0.79227734,0.22677837,0.27943206,-0.44350415,-0.105678484,-0.31562328,-0.69185287,06 Duarte,2021,val
