province,year,week,solar_radiation,wind_speed,dew_point_temp
01 Distrito Nacional,2015,1,4.8927,3.0425,20.0775
01 Distrito Nacional,2015,2,4.745585714285714,2.5828571428571427,19.84142857142857
01 Distrito Nacional,2015,3,4.432571428571428,2.0157142857142856,20.574285714285715
01 Distrito Nacional,2015,4,4.802714285714286,2.047142857142857,19.527142857142856
01 Distrito Nacional,2015,5,4.655228571428572,2.12,20.307142857142857
01 Distrito Nacional,2015,6,5.514271428571428,2.045714285714286,19.951428571428572
01 Distrito Nacional,2015,7,4.716685714285715,2.2385714285714284,19.942857142857143
01 Distrito Nacional,2015,8,5.1672,2.4085714285714284,20.21857142857143
01 Distrito Nacional,2015,9,6.078228571428572,2.6885714285714286,20.037142857142857
01 Distrito Nacional,2015,10,5.965542857142857,3.0500000000000003,18.931428571428572
01 Distrito Nacional,2015,11,6.120842857142857,3.261428571428571,19.39428571428571
01 Distrito Nacional,2015,12,6.554314285714286,2.051428571428571,19.291428571428572
01 Distrito Nacional,2015,13,6.680928571428572,2.051428571428571,19.674285714285713
01 Distrito Nacional,2015,14,5.9783,2.5414285714285714,19.0
01 Distrito Nacional,2015,15,6.149985714285714,2.8114285714285714,20.325714285714287
01 Distrito Nacional,2015,16,7.080585714285713,2.4657142857142857,19.69142857142857
01 Distrito Nacional,2015,17,7.084014285714285,1.8871428571428572,20.23
01 Distrito Nacional,2015,18,7.183542857142858,2.1914285714285713,20.645714285714288
01 Distrito Nacional,2015,19,6.774742857142857,2.718571428571429,20.462857142857143
01 Distrito Nacional,2015,20,5.897942857142858,2.5885714285714285,20.84714285714286
01 Distrito Nacional,2015,21,5.8033,2.13,21.372857142857146
01 Distrito Nacional,2015,22,5.7843857142857145,2.0214285714285714,21.224285714285713
01 Distrito Nacional,2015,23,6.381171428571428,1.8414285714285714,22.56142857142857
01 Distrito Nacional,2015,24,6.496442857142857,2.1385714285714283,22.085714285714285
01 Distrito Nacional,2015,25,5.731828571428571,2.1228571428571428,22.262857142857143
01 Distrito Nacional,2015,26,6.086828571428571,2.447142857142857,22.692857142857143
01 Distrito Nacional,2015,27,6.514657142857144,2.8228571428571425,22.101428571428574
01 Distrito Nacional,2015,28,5.588542857142857,2.4528571428571433,21.74285714285714
01 Distrito Nacional,2015,29,6.167928571428571,2.2514285714285713,22.238571428571426
01 Distrito Nacional,2015,30,6.3868285714285715,1.8971428571428572,22.37
01 Distrito Nacional,2015,31,6.852885714285714,2.4971428571428573,21.939999999999998
01 Distrito Nacional,2015,32,6.651085714285714,2.335714285714286,22.342857142857145
01 Distrito Nacional,2015,33,6.329014285714286,2.02,22.295714285714286
01 Distrito Nacional,2015,34,6.252571428571429,1.9271428571428573,22.127142857142854
01 Distrito Nacional,2015,35,5.466885714285715,2.6471428571428572,23.271428571428572
01 Distrito Nacional,2015,36,6.3040714285714285,1.7242857142857144,22.59
01 Distrito Nacional,2015,37,6.0640857142857145,2.2357142857142858,22.664285714285715
01 Distrito Nacional,2015,38,5.016385714285714,1.827142857142857,22.72142857142857
01 Distrito Nacional,2015,39,6.136514285714285,1.542857142857143,22.94857142857143
01 Distrito Nacional,2015,40,5.270442857142856,2.1714285714285713,22.735714285714288
01 Distrito Nacional,2015,41,5.379028571428571,1.912857142857143,23.32857142857143
01 Distrito Nacional,2015,42,5.416471428571429,1.7485714285714287,23.029999999999998
01 Distrito Nacional,2015,43,5.337957142857143,1.51,21.858571428571427
01 Distrito Nacional,2015,44,4.8014,1.94,22.75714285714286
01 Distrito Nacional,2015,45,4.3265142857142855,2.3042857142857143,23.34
01 Distrito Nacional,2015,46,4.835485714285714,2.237142857142857,22.602857142857143
01 Distrito Nacional,2015,47,4.594914285714286,2.382857142857143,21.05857142857143
01 Distrito Nacional,2015,48,3.6793,1.6028571428571428,20.422857142857143
01 Distrito Nacional,2015,49,3.886142857142857,2.1685714285714286,23.025714285714287
01 Distrito Nacional,2015,50,4.486585714285714,2.005714285714286,21.859999999999996
01 Distrito Nacional,2015,51,3.8674,2.2057142857142855,21.57
01 Distrito Nacional,2015,52,4.617354545454545,2.9545454545454546,21.227272727272727
01 Distrito Nacional,2016,1,4.408842857142857,1.577142857142857,20.16857142857143
01 Distrito Nacional,2016,2,4.947842857142858,1.9914285714285715,19.602857142857143
01 Distrito Nacional,2016,3,4.8333,2.1,20.15285714285714
01 Distrito Nacional,2016,4,4.697785714285715,2.4200000000000004,19.994285714285716
01 Distrito Nacional,2016,5,4.780171428571428,2.0514285714285716,19.208571428571428
01 Distrito Nacional,2016,6,5.622685714285715,2.0085714285714285,20.08142857142857
01 Distrito Nacional,2016,7,5.346857142857142,2.652857142857143,19.935714285714287
01 Distrito Nacional,2016,8,5.869571428571429,2.004285714285714,20.07857142857143
01 Distrito Nacional,2016,9,5.723657142857143,1.9371428571428573,20.554285714285715
01 Distrito Nacional,2016,10,6.0675,3.402857142857143,17.854285714285716
01 Distrito Nacional,2016,11,6.194228571428572,2.2328571428571427,20.09142857142857
01 Distrito Nacional,2016,12,6.3492999999999995,2.684285714285714,20.318571428571428
01 Distrito Nacional,2016,13,6.4138714285714284,2.2642857142857147,20.080000000000002
01 Distrito Nacional,2016,14,6.538457142857142,1.7714285714285716,20.545714285714286
01 Distrito Nacional,2016,15,6.948585714285714,1.91,19.844285714285714
01 Distrito Nacional,2016,16,5.188828571428571,2.4585714285714286,20.414285714285715
01 Distrito Nacional,2016,17,5.259528571428571,1.8857142857142857,22.32
01 Distrito Nacional,2016,18,5.660071428571428,2.2057142857142855,22.545714285714286
01 Distrito Nacional,2016,19,5.298114285714285,2.1585714285714284,23.037142857142857
01 Distrito Nacional,2016,20,6.663028571428571,2.1014285714285714,22.898571428571426
01 Distrito Nacional,2016,21,5.972242857142858,1.8842857142857141,23.445714285714285
01 Distrito Nacional,2016,22,4.505242857142857,1.7042857142857142,23.642857142857142
01 Distrito Nacional,2016,23,6.562557142857143,1.7042857142857142,23.214285714285715
01 Distrito Nacional,2016,24,6.840714285714285,1.8728571428571428,22.80857142857143
01 Distrito Nacional,2016,25,5.473985714285715,2.1885714285714286,23.3
01 Distrito Nacional,2016,26,5.794428571428571,2.124285714285714,23.208571428571428
01 Distrito Nacional,2016,27,6.887728571428572,2.4314285714285715,23.297142857142855
01 Distrito Nacional,2016,28,6.3977,2.3414285714285716,22.925714285714285
01 Distrito Nacional,2016,29,6.659171428571428,2.2328571428571427,23.29
01 Distrito Nacional,2016,30,5.6757,2.347142857142857,23.56
01 Distrito Nacional,2016,31,5.538814285714286,2.3414285714285716,23.90142857142857
01 Distrito Nacional,2016,32,6.294357142857143,2.1342857142857143,23.427142857142858
01 Distrito Nacional,2016,33,6.933714285714286,2.0742857142857143,23.048571428571428
01 Distrito Nacional,2016,34,4.2295428571428575,1.8242857142857143,23.434285714285714
01 Distrito Nacional,2016,35,6.3844,2.187142857142857,23.49857142857143
01 Distrito Nacional,2016,36,5.718614285714286,2.1414285714285715,23.282857142857143
01 Distrito Nacional,2016,37,6.067085714285715,1.9628571428571429,22.805714285714284
01 Distrito Nacional,2016,38,5.968328571428572,1.4985714285714287,22.978571428571428
01 Distrito Nacional,2016,39,5.063785714285714,2.5085714285714285,23.414285714285715
01 Distrito Nacional,2016,40,4.3405000000000005,2.142857142857143,23.905714285714286
01 Distrito Nacional,2016,41,5.4375285714285715,1.3057142857142858,23.27285714285714
01 Distrito Nacional,2016,42,4.263342857142857,1.6557142857142857,23.542857142857144
01 Distrito Nacional,2016,43,5.2943428571428575,1.804285714285714,23.454285714285714
01 Distrito Nacional,2016,44,4.751814285714286,2.205714285714286,23.145714285714288
01 Distrito Nacional,2016,45,4.620914285714286,2.172857142857143,23.728571428571428
01 Distrito Nacional,2016,46,3.999857142857143,1.9714285714285715,23.06714285714286
01 Distrito Nacional,2016,47,3.3326857142857143,2.685714285714286,22.632857142857144
01 Distrito Nacional,2016,48,4.584314285714285,2.0714285714285716,22.610000000000003
01 Distrito Nacional,2016,49,4.2439857142857145,2.5385714285714287,22.087142857142858
01 Distrito Nacional,2016,50,4.577542857142857,2.5171428571428573,22.021428571428572
01 Distrito Nacional,2016,51,4.637771428571428,2.967142857142857,21.27
01 Distrito Nacional,2016,52,4.7219999999999995,2.3377777777777777,20.64
01 Distrito Nacional,2017,1,4.786985714285714,2.02,20.71142857142857
01 Distrito Nacional,2017,2,4.500957142857143,3.5242857142857145,18.955714285714286
01 Distrito Nacional,2017,3,5.344571428571428,2.315714285714286,17.490000000000002
01 Distrito Nacional,2017,4,4.8402,2.157142857142857,18.807142857142857
01 Distrito Nacional,2017,5,4.8491,2.2671428571428573,20.30857142857143
01 Distrito Nacional,2017,6,4.9587,2.2785714285714285,20.47
01 Distrito Nacional,2017,7,5.215714285714285,1.7385714285714287,19.48428571428571
01 Distrito Nacional,2017,8,5.868228571428572,1.8585714285714285,18.72142857142857
01 Distrito Nacional,2017,9,5.831557142857143,3.0,19.56142857142857
01 Distrito Nacional,2017,10,4.769014285714285,3.0357142857142856,18.96
01 Distrito Nacional,2017,11,6.239085714285714,2.13,19.825714285714287
01 Distrito Nacional,2017,12,5.9121428571428565,1.8485714285714285,20.455714285714286
01 Distrito Nacional,2017,13,6.929914285714285,1.977142857142857,19.62
01 Distrito Nacional,2017,14,6.833214285714285,2.09,20.238571428571426
01 Distrito Nacional,2017,15,6.751828571428571,2.5285714285714285,19.327142857142857
01 Distrito Nacional,2017,16,4.2824857142857145,2.6342857142857143,21.181428571428572
01 Distrito Nacional,2017,17,4.090914285714286,2.4042857142857144,22.618571428571432
01 Distrito Nacional,2017,18,6.042242857142857,2.032857142857143,22.29
01 Distrito Nacional,2017,19,6.6038,2.1042857142857145,21.194285714285716
01 Distrito Nacional,2017,20,5.4028285714285715,2.3114285714285714,22.849999999999998
01 Distrito Nacional,2017,21,6.456214285714286,2.11,22.358571428571427
01 Distrito Nacional,2017,22,5.796585714285714,2.2314285714285718,22.662857142857142
01 Distrito Nacional,2017,23,6.922542857142857,2.0742857142857143,22.434285714285714
01 Distrito Nacional,2017,24,5.882557142857143,2.2914285714285714,22.275714285714287
01 Distrito Nacional,2017,25,6.140714285714286,2.5700000000000003,22.419999999999998
01 Distrito Nacional,2017,26,6.172071428571429,2.3742857142857146,22.662857142857142
01 Distrito Nacional,2017,27,6.0167,2.345714285714286,22.99285714285714
01 Distrito Nacional,2017,28,5.799085714285715,1.5785714285714287,22.99285714285714
01 Distrito Nacional,2017,29,6.027314285714286,2.512857142857143,23.178571428571427
01 Distrito Nacional,2017,30,6.303042857142857,1.9314285714285713,23.22
01 Distrito Nacional,2017,31,6.091757142857142,2.6128571428571425,23.400000000000002
01 Distrito Nacional,2017,32,5.992742857142857,2.042857142857143,23.099999999999998
01 Distrito Nacional,2017,33,5.5709857142857135,2.6457142857142855,23.82428571428571
01 Distrito Nacional,2017,34,6.121271428571428,2.0157142857142856,23.30857142857143
01 Distrito Nacional,2017,35,6.0849142857142855,1.922857142857143,23.077142857142857
01 Distrito Nacional,2017,36,5.428685714285714,2.4714285714285715,23.728571428571428
01 Distrito Nacional,2017,37,5.5792142857142855,1.4257142857142857,23.354285714285712
01 Distrito Nacional,2017,38,4.326271428571428,2.6942857142857144,24.055714285714288
01 Distrito Nacional,2017,39,5.3281285714285715,1.83,23.59
01 Distrito Nacional,2017,40,5.156214285714285,1.6371428571428572,23.34714285714286
01 Distrito Nacional,2017,41,5.152242857142857,1.8957142857142857,23.697142857142858
01 Distrito Nacional,2017,42,4.847757142857143,2.4857142857142853,23.717142857142857
01 Distrito Nacional,2017,43,5.13,1.7714285714285716,22.7
01 Distrito Nacional,2017,44,5.075642857142857,1.8642857142857143,22.29714285714286
01 Distrito Nacional,2017,45,3.097985714285714,1.8257142857142858,22.795714285714286
01 Distrito Nacional,2017,46,3.0512142857142854,1.8642857142857143,22.925714285714285
01 Distrito Nacional,2017,47,4.370585714285714,1.53,22.224285714285713
01 Distrito Nacional,2017,48,5.002657142857143,1.7714285714285716,21.512857142857143
01 Distrito Nacional,2017,49,4.702,2.4514285714285715,21.582857142857144
01 Distrito Nacional,2017,50,4.8876,2.1314285714285712,20.722857142857144
01 Distrito Nacional,2017,51,4.2861,2.8871428571428575,20.705714285714286
01 Distrito Nacional,2017,52,4.476125,2.55875,20.8075
01 Distrito Nacional,2018,1,3.5889,1.91625,21.2675
01 Distrito Nacional,2018,2,3.7204,2.4499999999999997,21.669999999999998
01 Distrito Nacional,2018,3,4.458057142857143,2.315714285714286,21.337142857142855
01 Distrito Nacional,2018,4,4.580271428571429,3.0685714285714285,20.97142857142857
01 Distrito Nacional,2018,5,5.062442857142857,2.707142857142857,19.084285714285716
01 Distrito Nacional,2018,6,5.124542857142857,3.075714285714286,20.24857142857143
