province,year,week,avg_humidity,max_humidity,min_humidity
01 Distrito Nacional,2017,41,85.1,96,61
01 Distrito Nacional,2017,42,84.0,97,54
01 Distrito Nacional,2017,43,83.8,97,62
01 Distrito Nacional,2017,44,82.3,95,57
01 Distrito Nacional,2017,45,90.2,97,71
01 Distrito Nacional,2017,46,88.4,97,73
01 Distrito Nacional,2017,47,86.3,98,66
01 Distrito Nacional,2017,48,82.2,97,58
01 Distrito Nacional,2017,49,82.7,95,57
01 Distrito Nacional,2017,50,79.4,95,54
01 Distrito Nacional,2017,51,77.4,92,48
01 Distrito Nacional,2017,52,79.7,94,54
01 Distrito Nacional,2018,1,83.8,98,59
01 Distrito Nacional,2018,2,84.9,96,60
01 Distrito Nacional,2018,3,83.9,95,61
01 Distrito Nacional,2018,4,80.6,95,54
01 Distrito Nacional,2018,5,74.9,95,41
01 Distrito Nacional,2018,6,78.5,95,51
01 Distrito Nacional,2018,7,76.4,95,43
01 Distrito Nacional,2018,8,74.0,92,40
01 Distrito Nacional,2018,9,74.4,93,39
01 Distrito Nacional,2018,10,72.8,96,36
01 Distrito Nacional,2018,11,80.1,97,55
01 Distrito Nacional,2018,12,76.8,97,34
01 Distrito Nacional,2018,13,66.1,89,32
01 Distrito Nacional,2018,14,77.4,96,44
01 Distrito Nacional,2018,15,75.3,96,40
01 Distrito Nacional,2018,16,78.1,98,49
01 Distrito Nacional,2018,17,77.9,93,51
01 Distrito Nacional,2018,18,81.5,96,55
01 Distrito Nacional,2018,19,80.3,94,59
01 Distrito Nacional,2018,20,79.8,95,48
01 Distrito Nacional,2018,21,79.7,99,54
01 Distrito Nacional,2018,22,81.1,98,59
01 Distrito Nacional,2018,23,79.4,98,56
01 Distrito Nacional,2018,24,80.0,96,52
01 Distrito Nacional,2018,25,81.8,97,50
01 Distrito Nacional,2018,26,76.8,94,48
01 Distrito Nacional,2018,27,73.9,95,34
01 Distrito Nacional,2018,28,81.2,98,54
01 Distrito Nacional,2018,29,82.3,95,53
01 Distrito Nacional,2018,30,80.0,96,50
01 Distrito Nacional,2018,31,77.4,97,52
01 Distrito Nacional,2018,32,83.5,96,61
01 Distrito Nacional,2018,33,83.7,97,57
01 Distrito Nacional,2018,34,82.4,96,52
01 Distrito Nacional,2018,35,85.3,97,61
01 Distrito Nacional,2018,36,84.2,98,56
01 Distrito Nacional,2018,37,83.3,97,51
01 Distrito Nacional,2018,38,85.1,98,60
01 Distrito Nacional,2018,39,84.6,96,59
01 Distrito Nacional,2018,40,86.6,96,59
01 Distrito Nacional,2018,41,88.3,97,60
01 Distrito Nacional,2018,42,81.8,95,54
01 Distrito Nacional,2018,43,83.5,96,55
01 Distrito Nacional,2018,44,80.8,95,53
01 Distrito Nacional,2018,45,83.7,96,61
01 Distrito Nacional,2018,46,87.2,97,62
01 Distrito Nacional,2018,47,84.1,98,57
01 Distrito Nacional,2018,48,82.9,96,57
01 Distrito Nacional,2018,49,80.2,95,50
01 Distrito Nacional,2018,50,80.7,97,52
01 Distrito Nacional,2018,51,81.3,99,42
01 Distrito Nacional,2018,52,73.8,94,42
01 Distrito Nacional,2019,1,74.8,95,46
01 Distrito Nacional,2019,2,79.5,96,42
01 Distrito Nacional,2019,3,79.2,96,42
01 Distrito Nacional,2019,4,77.8,96,50
01 Distrito Nacional,2019,5,80.2,99,44
01 Distrito Nacional,2019,6,75.4,96,46
01 Distrito Nacional,2019,7,78.3,96,43
01 Distrito Nacional,2019,8,72.2,95,36
01 Distrito Nacional,2019,9,71.5,94,32
01 Distrito Nacional,2019,10,74.7,96,38
01 Distrito Nacional,2019,11,73.0,94,41
01 Distrito Nacional,2019,12,76.4,95,49
01 Distrito Nacional,2019,13,81.5,97,60
01 Distrito Nacional,2019,14,76.1,95,42
01 Distrito Nacional,2019,15,76.9,96,57
01 Distrito Nacional,2019,16,74.7,93,46
01 Distrito Nacional,2019,17,75.3,95,44
01 Distrito Nacional,2019,18,76.0,96,51
01 Distrito Nacional,2019,19,78.0,96,49
01 Distrito Nacional,2019,20,80.3,97,59
01 Distrito Nacional,2019,21,82.2,98,52
01 Distrito Nacional,2019,22,85.3,98,60
01 Distrito Nacional,2019,23,84.3,98,66
01 Distrito Nacional,2019,24,79.7,96,50
01 Distrito Nacional,2019,25,80.6,96,57
01 Distrito Nacional,2019,26,79.8,96,55
01 Distrito Nacional,2019,27,77.2,96,45
01 Distrito Nacional,2019,28,79.1,96,48
01 Distrito Nacional,2019,29,78.4,97,50
01 Distrito Nacional,2019,30,79.3,96,51
01 Distrito Nacional,2019,31,82.7,98,45
01 Distrito Nacional,2019,32,82.6,97,53
01 Distrito Nacional,2019,33,80.7,97,51
01 Distrito Nacional,2019,34,84.0,98,55
01 Distrito Nacional,2019,35,80.6,98,49
01 Distrito Nacional,2019,36,80.6,97,49
01 Distrito Nacional,2019,37,80.9,97,56
01 Distrito Nacional,2019,38,86.6,98,57
01 Distrito Nacional,2019,39,84.5,99,62
01 Distrito Nacional,2019,40,85.4,98,61
01 Distrito Nacional,2019,41,79.7,97,52
01 Distrito Nacional,2019,42,80.3,97,52
01 Distrito Nacional,2019,43,84.7,96,58
01 Distrito Nacional,2019,44,77.8,96,45
01 Distrito Nacional,2019,45,81.0,96,48
01 Distrito Nacional,2019,46,84.3,98,56
01 Distrito Nacional,2019,47,76.8,97,35
01 Distrito Nacional,2019,48,72.6,96,42
01 Distrito Nacional,2019,49,83.3,97,57
01 Distrito Nacional,2019,50,83.2,97,51
01 Distrito Nacional,2019,51,83.3,97,47
01 Distrito Nacional,2019,52,80.2,96,45
01 Distrito Nacional,2020,1,77.4,96,47
01 Distrito Nacional,2020,2,73.2,92,42
01 Distrito Nacional,2020,3,75.9,92,42
01 Distrito Nacional,2020,4,79.6,98,55
01 Distrito Nacional,2020,5,80.2,99,51
01 Distrito Nacional,2020,6,77.6,95,41
01 Distrito Nacional,2020,7,73.7,94,39
01 Distrito Nacional,2020,8,78.9,96,48
01 Distrito Nacional,2020,9,76.6,96,42
01 Distrito Nacional,2020,10,80.2,96,55
01 Distrito Nacional,2020,11,80.3,97,47
01 Distrito Nacional,2020,12,72.1,92,44
01 Distrito Nacional,2020,13,79.5,96,47
01 Distrito Nacional,2020,14,77.2,95,49
01 Distrito Nacional,2020,15,83.1,97,58
01 Distrito Nacional,2020,16,80.3,95,48
01 Distrito Nacional,2020,17,80.5,96,51
01 Distrito Nacional,2020,18,79.6,96,55
01 Distrito Nacional,2020,19,80.3,96,59
01 Distrito Nacional,2020,20,78.4,96,58
01 Distrito Nacional,2020,21,79.9,99,58
01 Distrito Nacional,2020,22,80.8,97,59
01 Distrito Nacional,2020,23,79.5,97,55
01 Distrito Nacional,2020,24,78.8,96,54
01 Distrito Nacional,2020,25,79.0,98,49
01 Distrito Nacional,2020,26,76.9,96,44
01 Distrito Nacional,2020,27,81.6,96,57
01 Distrito Nacional,2020,28,80.2,95,46
01 Distrito Nacional,2020,29,80.0,96,47
01 Distrito Nacional,2020,30,80.9,96,53
01 Distrito Nacional,2020,31,80.9,95,49
01 Distrito Nacional,2020,32,81.1,96,53
01 Distrito Nacional,2020,33,78.5,94,50
01 Distrito Nacional,2020,34,82.9,96,61
01 Distrito Nacional,2020,35,81.8,97,57
01 Distrito Nacional,2020,36,86.4,96,58
01 Distrito Nacional,2020,37,84.4,98,63
01 Distrito Nacional,2020,38,81.9,97,54
01 Distrito Nacional,2020,39,81.7,96,49
01 Distrito Nacional,2020,40,86.4,97,59
01 Distrito Nacional,2020,41,84.7,97,56
01 Distrito Nacional,2020,42,87.5,98,68
01 Distrito Nacional,2020,43,84.1,97,58
01 Distrito Nacional,2020,44,84.5,96,60
01 Distrito Nacional,2020,45,87.7,97,64
01 Distrito Nacional,2020,46,88.0,98,66
01 Distrito Nacional,2020,47,87.1,98,59
01 Distrito Nacional,2020,48,81.3,96,51
01 Distrito Nacional,2020,49,78.9,92,54
01 Distrito Nacional,2020,50,85.5,96,66
01 Distrito Nacional,2020,51,84.4,96,55
01 Distrito Nacional,2020,52,82.9,96,49
01 Distrito Nacional,2021,1,79.1,97,49
01 Distrito Nacional,2021,2,82.7,97,54
01 Distrito Nacional,2021,3,81.9,95,51
01 Distrito Nacional,2021,4,76.6,94,44
01 Distrito Nacional,2021,5,81.6,97,58
01 Distrito Nacional,2021,6,77.8,95,48
01 Distrito Nacional,2021,7,76.4,93,50
01 Distrito Nacional,2021,8,75.2,94,38
01 Distrito Nacional,2021,9,77.4,96,42
01 Distrito Nacional,2021,10,80.7,95,43
01 Distrito Nacional,2021,11,73.8,94,43
01 Distrito Nacional,2021,12,79.5,95,50
01 Distrito Nacional,2021,13,79.5,99,51
01 Distrito Nacional,2021,14,80.4,95,51
01 Distrito Nacional,2021,15,80.4,98,44
01 Distrito Nacional,2021,16,82.1,97,60
01 Distrito Nacional,2021,17,81.8,96,52
01 Distrito Nacional,2021,18,80.0,96,59
01 Distrito Nacional,2021,19,82.3,96,58
01 Distrito Nacional,2021,20,83.4,98,57
01 Distrito Nacional,2021,21,82.3,98,57
01 Distrito Nacional,2021,22,82.8,95,56
01 Distrito Nacional,2021,23,86.4,97,63
01 Distrito Nacional,2021,24,81.4,96,58
01 Distrito Nacional,2021,25,83.6,97,60
01 Distrito Nacional,2021,26,82.9,97,60
01 Distrito Nacional,2021,27,80.2,96,46
01 Distrito Nacional,2021,28,81.7,96,56
01 Distrito Nacional,2021,29,81.9,96,56
01 Distrito Nacional,2021,30,84.0,98,55
01 Distrito Nacional,2021,31,82.9,98,53
01 Distrito Nacional,2021,32,83.6,98,56
01 Distrito Nacional,2021,33,84.5,97,55
01 Distrito Nacional,2021,34,80.2,95,51
01 Distrito Nacional,2021,35,83.0,97,58
01 Distrito Nacional,2021,36,81.4,96,53
01 Distrito Nacional,2021,37,82.6,98,57
01 Distrito Nacional,2021,38,81.9,96,57
01 Distrito Nacional,2021,39,83.6,97,60
01 Distrito Nacional,2021,40,81.8,96,52
01 Distrito Nacional,2021,41,86.2,97,64
01 Distrito Nacional,2021,42,84.1,97,59
01 Distrito Nacional,2021,43,80.1,96,63
01 Distrito Nacional,2021,44,82.9,96,58
01 Distrito Nacional,2021,45,80.4,96,49
01 Distrito Nacional,2021,46,75.8,93,38
01 Distrito Nacional,2021,47,79.9,96,51
01 Distrito Nacional,2021,48,80.4,94,49
01 Distrito Nacional,2021,49,76.2,95,47
01 Distrito Nacional,2021,50,78.0,92,43
01 Distrito Nacional,2021,51,84.2,96,57
01 Distrito Nacional,2021,52,72.1,95,43
01 Distrito Nacional,2022,1,76.6,96,41
01 Distrito Nacional,2022,2,78.2,97,49
01 Distrito Nacional,2022,3,78.4,96,50
01 Distrito Nacional,2022,4,78.1,96,47
01 Distrito Nacional,2022,5,81.6,98,49
01 Distrito Nacional,2022,6,79.9,95,50
01 Distrito Nacional,2022,7,75.1,94,41
01 Distrito Nacional,2022,8,71.6,92,45
01 Distrito Nacional,2022,9,81.6,96,53
01 Distrito Nacional,2022,10,80.9,96,54
01 Distrito Nacional,2022,11,76.1,94,46
01 Distrito Nacional,2022,12,76.2,96,48
01 Distrito Nacional,2022,13,82.2,96,56
01 Distrito Nacional,2022,14,80.5,98,57
01 Distrito Nacional,2022,15,80.1,96,49
01 Distrito Nacional,2022,16,84.3,97,55
01 Distrito Nacional,2022,17,74.5,97,40
01 Distrito Nacional,2022,18,83.0,97,64
01 Distrito Nacional,2022,19,82.4,96,66
01 Distrito Nacional,2022,20,82.5,97,66
01 Distrito Nacional,2022,21,83.0,95,61
01 Distrito Nacional,2022,22,79.6,96,58
01 Distrito Nacional,2022,23,79.6,97,61
01 Distrito Nacional,2022,24,79.7,97,52
01 Distrito Nacional,2022,25,78.8,96,52
01 Distrito Nacional,2022,26,78.9,97,44
01 Distrito Nacional,2022,27,82.1,95,57
01 Distrito Nacional,2022,28,81.4,95,52
01 Distrito Nacional,2022,29,81.2,96,51
01 Distrito Nacional,2022,30,80.6,95,54
01 Distrito Nacional,2022,31,78.6,95,53
01 Distrito Nacional,2022,32,80.1,98,53
01 Distrito Nacional,2022,33,84.6,97,65
01 Distrito Nacional,2022,34,83.2,96,51
01 Distrito Nacional,2022,35,82.2,97,59
01 Distrito Nacional,2022,36,84.8,97,56
01 Distrito Nacional,2022,37,81.2,96,50
01 Distrito Nacional,2022,38,85.5,97,66
01 Distrito Nacional,2022,39,85.1,96,66
01 Distrito Nacional,2022,40,83.9,97,54
01 Distrito Nacional,2022,41,83.8,97,62
01 Distrito Nacional,2022,42,82.5,96,60
01 Distrito Nacional,2022,43,86.0,98,60
01 Distrito Nacional,2022,44,86.4,97,62
01 Distrito Nacional,2022,45,83.6,97,62
01 Distrito Nacional,2022,46,81.9,94,56
01 Distrito Nacional,2022,47,82.6,96,53
01 Distrito Nacional,2022,48,77.5,95,48
01 Distrito Nacional,2022,49,72.0,91,50
01 Distrito Nacional,2022,50,77.4,93,46
01 Distrito Nacional,2022,51,80.3,95,45
01 Distrito Nacional,2022,52,79.5,94,50
01 Distrito Nacional,2023,1,81.5,96,53
01 Distrito Nacional,2023,2,84.5,97,55
01 Distrito Nacional,2023,3,72.1,95,44
01 Distrito Nacional,2023,4,76.9,95,51
01 Distrito Nacional,2023,5,76.9,96,49
01 Distrito Nacional,2023,6,76.8,96,46
01 Distrito Nacional,2023,7,74.4,97,43
01 Distrito Nacional,2023,8,69.7,93,40
01 Distrito Nacional,2023,9,74.1,93,42
01 Distrito Nacional,2023,10,72.2,95,35
01 Distrito Nacional,2023,11,75.3,96,40
01 Distrito Nacional,2023,12,73.3,96,39
01 Distrito Nacional,2023,13,73.6,95,45
01 Distrito Nacional,2023,14,78.6,98,38
01 Distrito Nacional,2023,15,81.1,98,59
01 Distrito Nacional,2023,16,79.4,97,60
01 Distrito Nacional,2023,17,78.3,96,54
01 Distrito Nacional,2023,18,77.1,98,52
01 Distrito Nacional,2023,19,76.0,95,55
01 Distrito Nacional,2023,20,82.2,99,62
01 Distrito Nacional,2023,21,82.9,98,68
01 Distrito Nacional,2023,22,81.5,96,64
01 Distrito Nacional,2023,23,80.3,95,67
01 Distrito Nacional,2023,24,79.2,97,62
01 Distrito Nacional,2023,25,76.7,97,46
01 Distrito Nacional,2023,26,78.8,96,52
01 Distrito Nacional,2023,27,80.5,98,50
01 Distrito Nacional,2023,28,78.8,96,39
01 Distrito Nacional,2023,29,81.7,98,63
01 Distrito Nacional,2023,30,80.1,96,53
01 Distrito Nacional,2023,31,82.7,98,62
01 Distrito Nacional,2023,32,84.5,97,56
01 Distrito Nacional,2023,33,79.0,95,49
01 Distrito Nacional,2023,34,88.1,99,60
01 Distrito Nacional,2023,35,85.8,98,67
01 Distrito Nacional,2023,36,82.0,96,59
01 Distrito Nacional,2023,37,82.7,99,53
01 Distrito Nacional,2023,38,80.7,96,55
01 Distrito Nacional,2023,39,82.3,95,56
01 Distrito Nacional,2023,40,83.6,99,53
01 Distrito Nacional,2023,41,82.5,98,58
01 Distrito Nacional,2023,42,81.2,98,53
01 Distrito Nacional,2023,43,79.5,96,48
01 Distrito Nacional,2023,44,82.6,99,53
01 Distrito Nacional,2023,45,87.0,98,62
01 Distrito Nacional,2023,46,84.5,97,58
01 Distrito Nacional,2023,47,82.4,97,54
01 Distrito Nacional,2023,48,79.8,99,52
01 Distrito Nacional,2023,49,82.2,96,53
01 Distrito Nacional,2023,50,82.2,98,44
01 Distrito Nacional,2023,51,83.2,98,52
01 Distrito Nacional,2023,52,82.5,98,56
02 Azua,2015,1,69.5,94,38
02 Azua,2015,2,68.9,91,36
02 Azua,2015,3,74.9,95,46
02 Azua,2015,4,76.6,100,49
02 Azua,2015,5,75.3,96,47
02 Azua,2015,6,76.2,97,49
02 Azua,2015,7,75.7,98,48
02 Azua,2015,8,72.8,94,44
02 Azua,2015,9,72.7,93,45
02 Azua,2015,10,67.4,90,39
02 Azua,2015,11,65.9,90,32
02 Azua,2015,12,72.5,98,44
02 Azua,2015,13,74.5,97,48
02 Azua,2015,14,70.9,92,45
02 Azua,2015,15,68.1,90,40
02 Azua,2015,16,68.1,96,39
02 Azua,2015,17,74.9,98,49
02 Azua,2015,18,69.8,99,43
02 Azua,2015,19,68.8,97,39
02 Azua,2015,20,66.3,85,39
02 Azua,2015,21,71.0,99,40
02 Azua,2015,22,71.3,95,45
02 Azua,2015,23,75.0,98,54
02 Azua,2015,24,72.0,98,48
02 Azua,2015,25,70.6,98,40
02 Azua,2015,26,68.0,92,41
02 Azua,2015,27,66.2,89,34
02 Azua,2015,28,65.6,84,36
02 Azua,2015,29,70.0,91,45
02 Azua,2015,30,70.8,94,42
02 Azua,2015,31,67.3,91,39
02 Azua,2015,32,69.2,90,39
02 Azua,2015,33,69.3,85,42
02 Azua,2015,34,73.3,94,48
02 Azua,2015,35,73.8,94,42
02 Azua,2015,36,80.4,98,61
02 Azua,2015,37,76.8,98,51
02 Azua,2015,38,77.5,97,50
02 Azua,2015,39,79.7,96,62
02 Azua,2015,40,76.5,98,58
02 Azua,2015,41,73.1,97,47
02 Azua,2015,42,76.1,98,50
02 Azua,2015,43,75.8,98,56
02 Azua,2015,44,76.9,89,59
02 Azua,2015,45,74.4,93,51
02 Azua,2015,46,75.9,99,48
02 Azua,2015,47,71.9,91,44
02 Azua,2015,48,72.8,97,49
02 Azua,2015,49,75.9,96,47
02 Azua,2015,50,76.6,98,46
02 Azua,2015,51,75.6,99,44
02 Azua,2015,52,72.3,95,35
02 Azua,2016,1,76.1,97,46
02 Azua,2016,2,74.3,100,42
02 Azua,2016,3,74.8,99,42
02 Azua,2016,4,73.9,99,46
02 Azua,2016,5,73.6,97,47
02 Azua,2016,6,73.4,98,45
02 Azua,2016,7,71.4,98,36
02 Azua,2016,8,72.1,98,41
02 Azua,2016,9,75.5,99,49
02 Azua,2016,10,68.2,94,37
02 Azua,2016,11,76.4,99,50
02 Azua,2016,12,71.6,95,38
02 Azua,2016,13,72.9,100,43
02 Azua,2016,14,74.5,95,55
02 Azua,2016,15,73.8,89,52
02 Azua,2016,16,69.8,86,50
02 Azua,2016,17,79.8,96,60
02 Azua,2016,18,81.1,97,67
02 Azua,2016,19,77.3,96,63
02 Azua,2016,20,77.6,98,56
02 Azua,2016,21,77.2,98,58
02 Azua,2016,22,80.3,99,65
02 Azua,2016,23,78.5,100,58
02 Azua,2016,24,74.2,99,43
02 Azua,2016,25,73.0,92,49
02 Azua,2016,26,71.6,91,45
02 Azua,2016,27,69.2,92,40
02 Azua,2016,28,67.4,87,41
02 Azua,2016,29,71.6,99,46
02 Azua,2016,30,69.7,88,41
02 Azua,2016,31,75.2,94,44
02 Azua,2016,32,71.5,98,43
02 Azua,2016,33,68.6,91,41
02 Azua,2016,34,79.5,97,53
02 Azua,2016,35,75.2,92,44
02 Azua,2016,36,76.6,92,42
02 Azua,2016,37,74.5,91,50
02 Azua,2016,38,77.0,94,58
02 Azua,2016,39,75.1,90,48
02 Azua,2016,40,85.7,99,66
02 Azua,2016,41,80.8,97,66
02 Azua,2016,42,79.6,96,60
02 Azua,2016,43,80.2,94,66
02 Azua,2016,44,81.3,95,54
02 Azua,2016,45,80.0,93,67
02 Azua,2016,46,82.3,98,66
02 Azua,2016,47,79.5,93,55
02 Azua,2016,48,80.9,99,60
02 Azua,2016,49,78.0,93,56
02 Azua,2016,50,77.7,90,57
02 Azua,2016,51,75.2,90,52
02 Azua,2016,52,74.4,89,49
02 Azua,2017,1,69.1,89,45
02 Azua,2017,2,60.2,89,37
02 Azua,2017,3,62.7,87,32
02 Azua,2017,4,70.5,91,38
02 Azua,2017,5,67.8,88,41
02 Azua,2017,6,69.6,89,40
02 Azua,2017,7,77.2,92,46
02 Azua,2017,8,74.3,93,42
02 Azua,2017,9,60.2,91,28
02 Azua,2017,10,61.1,90,30
02 Azua,2017,11,74.8,94,50
02 Azua,2017,12,73.9,95,42
02 Azua,2017,13,71.3,94,46
02 Azua,2017,14,70.7,90,42
02 Azua,2017,15,64.7,87,39
02 Azua,2017,16,74.8,96,50
02 Azua,2017,17,79.6,99,56
02 Azua,2017,18,82.2,96,65
02 Azua,2017,19,78.6,92,60
02 Azua,2017,20,73.8,92,49
02 Azua,2017,21,72.6,92,50
02 Azua,2017,22,71.7,94,44
02 Azua,2017,23,73.1,94,44
02 Azua,2017,24,69.8,94,39
02 Azua,2017,25,63.7,89,38
02 Azua,2017,26,69.2,90,45
02 Azua,2017,27,70.3,93,38
02 Azua,2017,28,75.8,93,57
02 Azua,2017,29,63.5,91,26
02 Azua,2017,30,71.5,95,37
02 Azua,2017,31,64.2,94,33
02 Azua,2017,32,70.1,88,39
02 Azua,2017,33,67.6,96,31
02 Azua,2017,34,75.6,95,53
02 Azua,2017,35,72.0,93,47
02 Azua,2017,36,77.9,98,40
02 Azua,2017,37,81.0,97,63
02 Azua,2017,38,81.1,97,53
02 Azua,2017,39,79.5,96,58
