round,fitness,val_r2_z1,val_r2_z2,val_r2_z3,n_active
1,0.30130632738738716,0.9503435923930329,0.4978701497912691,-0.44236929003343195,28
2,0.31335172448996673,0.8099982440063962,0.3863506733157097,-0.44958678288506415,16
3,0.33342327731295096,0.9518434502211064,0.4979457941335178,-0.4363597582320822,25
4,0.33342327731295096,0.9518434502211064,0.4979457941335178,-0.4363597582320822,25
5,0.3868043064325116,0.9518434502211064,0.4979457941335178,-0.26945461263427894,23
6,0.3868043064325116,0.9518434502211064,0.4979457941335178,-0.26945461263427894,23
7,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
8,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
9,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
10,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
11,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
12,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
13,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
14,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
15,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
16,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
17,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
18,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
19,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
20,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
21,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
22,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
23,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
24,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
25,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
26,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
27,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
28,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
29,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
30,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
31,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
32,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
33,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
34,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
35,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
36,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
37,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
38,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
39,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
40,0.40722512874124794,0.9525319019720959,0.49798455042423095,-0.26945461263427894,21
