,dz1/dt,dz2/dt,dz3/dt
1,1.6834805168929194,0.0,-0.2431107626874997
z1,-1.9666419173581786,0.0,0.0
z2,1.2062334252032454,0.0,0.0
z3,0.29267132660173667,0.0,0.0
z1^2,0.2454802770425105,0.0,0.0
z1 z2,-0.3150281096744964,0.0,0.0
z1 z3,0.0,0.0,0.0
z2^2,0.0,0.0,0.0
z2 z3,0.0,0.0,0.0
z3^2,0.0,0.0,0.0
z1^3,0.0,0.0,0.0
z1^2 z2,0.0,0.0,0.0
z1^2 z3,0.0,0.0,0.0
z1 z2^2,0.0,0.0,0.0
z1 z2 z3,0.0,0.0,0.0
z1 z3^2,0.0,0.0,0.0
z2^3,0.0,0.0,0.0
z2^2 z3,0.0,0.0,0.0
z2 z3^2,0.0,0.0,0.0
z3^3,0.0,0.0,0.0
