trial,val_r2,val_mse,hidden_dims,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,optimizer,n_params,epochs
7,0.8222,0.024585,"[256, 64, 512]",True,0.00012,0.207,0.000678,128,elu,0.471,adam,126375,89
2,0.8022,0.027344,"[512, 256, 128]",True,0.00351,0.091,0.000663,256,leakyrelu,0.858,adam,368423,104
9,0.7916,0.028806,[64],True,0.00024,0.249,0.000237,128,relu,0.266,adam,5415,87
70,0.7839,0.029879,"[512, 256]",True,0.00292,0.3,0.000577,128,leakyrelu,0.255,adam,303655,52
46,0.7714,0.031598,"[512, 64]",False,0.00078,0.018,0.000112,256,elu,0.32,adam,101287,100
10,0.7072,0.040482,[32],False,0.00069,0.068,0.000722,256,elu,0.84,adam,2599,300
8,0.6702,0.045599,"[64, 32]",False,0.00119,0.119,0.000349,128,relu,0.313,adam,8935,128
87,0.6629,0.046609,"[512, 256]",False,0.00395,0.134,0.00036,64,relu,0.242,adam,300583,107
27,0.6217,0.052305,"[128, 128, 256]",False,0.00063,0.143,0.000531,64,leakyrelu,0.274,adam,110887,200
37,0.5463,0.06272,"[512, 256, 32]",False,0.00417,0.301,0.000217,256,leakyrelu,0.347,adam,314343,127
