z1,z2,z3,z4,z5,z6,z7,province,year,split
0.98949414,-0.8886707,0.9458463,-0.55760914,-1.1995587,-1.7936181,0.29220805,06 Duarte,2018,train
0.56327665,-0.34448898,0.18274643,0.17139484,-0.9720705,-0.53760964,-0.6188831,06 Duarte,2019,train
0.927979,-0.36708108,1.51444,-0.12490696,-1.3955133,-0.18183838,-0.36017027,06 Duarte,2020,val
0.5420466,-0.23470661,0.88236415,-0.4930678,-1.2703412,-0.88844913,-0.11174209,06 Duarte,2021,val
0.57739437,-0.15505181,0.92952573,-0.5193377,-1.5542258,-0.6042296,-0.12669134,06 Duarte,2022,test
0.22952262,-0.062329344,0.59479517,-0.14615412,-0.9847148,-0.18332972,-0.29977658,06 Duarte,2023,test
-1.7733053,-0.6616691,-1.0316323,2.5945668,0.330605,0.5603654,1.1288161,07 Elías Piña,2015,train
0.8821292,0.808227,0.53662914,2.502311,-0.89397055,1.4864249,2.4875398,07 Elías Piña,2016,train
-1.133296,1.4912732,-0.11124766,0.901993,-0.90587735,1.3257987,2.608736,07 Elías Piña,2017,train
-0.76210743,-0.182795,-0.9935936,2.0388386,-0.13840248,-0.63841826,3.4376185,07 Elías Piña,2018,train
0.33515507,1.6356778,-1.2724372,2.6150498,-0.94867736,0.35074,0.9332367,07 Elías Piña,2019,train
0.098458216,1.6448959,0.20237772,1.618432,-1.0247289,0.9007622,3.880833,07 Elías Piña,2020,val
-0.41556543,0.83562005,-0.4872244,1.6013501,-0.7590261,0.51423836,2.7383058,07 Elías Piña,2021,val
-0.09574338,0.8408207,-0.60395306,1.7416884,-1.1663047,0.6563492,2.1040208,07 Elías Piña,2022,test
-0.3960749,1.0683141,-0.80268985,1.5643146,-0.7041146,0.7511121,1.0892369,07 Elías Piña,2023,test
-0.06516891,-0.6082315,0.02894508,-0.6036236,1.4519972,-0.19498023,-0.3060674,08 El Seibo,2015,train
1.6862897,0.8495437,2.5874782,-0.5276738,0.6353244,0.69285315,-0.05412738,08 El Seibo,2016,train
0.95712626,3.5542936,1.3762553,-2.41194,0.35280424,-1.0947717,4.8325667,08 El Seibo,2017,train
1.0818264,0.54301286,0.41419607,-1.093494,1.5788947,-1.566598,1.5971574,08 El Seibo,2018,train
0.83634907,1.0746131,-0.11359407,-0.043204043,0.5321053,-0.4024213,-0.39150053,08 El Seibo,2019,train
