epoch,global_best_fitness,migrant_fitness,migrant_n_terms,island_Island_1_fitness,island_Island_2_fitness,island_Island_3_fitness,island_Island_4_fitness,island_Island_5_fitness,island_Island_6_fitness
1,0.787214443291811,0.769145428975378,5,0.48683416307079774,0.7399673546128828,0.5778729212889984,0.787214443291811,0.6649361789743947,0.5162750807626983
2,0.787214443291811,0.7841421521981667,7,0.7703403062127627,0.769145428975378,0.7806990838455227,0.787214443291811,0.7819299677644919,0.769145428975378
3,0.7915795116008525,0.791145403024962,7,0.786019580136513,0.786019580136513,0.7915795116008525,0.787214443291811,0.7841421521981667,0.786019580136513
4,0.7948538789958466,0.7915795116008519,7,0.7948538789958466,0.791145403024962,0.7915795116008525,0.791145403024962,0.791145403024962,0.791145403024962
5,0.7948538789958466,0.7937967875222309,7,0.7948538789958466,0.7915795116008519,0.7915795116008525,0.7915795116008519,0.7915795116008519,0.7915795116008519
6,0.7964263891048801,0.7870119457252357,5,0.7948538789958466,0.7939358938290882,0.7939358938290882,0.7939358938290882,0.7937967875222309,0.7964263891048801
7,0.7964263891048801,0.7937027140409907,5,0.7948538789958466,0.7939358938290882,0.7939358938290882,0.7939358938290882,0.7937967875222309,0.7964263891048801
8,0.7964263891048801,0.7937763167155373,6,0.7948538789958466,0.7939358938290882,0.7939358938290882,0.7940595718317299,0.7937967875222309,0.7964263891048801
9,0.7964263891048801,0.7964263891048795,5,0.7948538789958466,0.7939358938290882,0.7950066238463439,0.7940595718317299,0.7939358938290882,0.7964263891048801
10,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048801
11,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048801
12,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.7964263891048801
13,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.7964263891048801
14,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.7964263891048801
15,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.7964263891048801
16,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.79642638910488,0.7964263891048801
17,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.79642638910488,0.7964263891048801
18,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.79642638910488,0.7964263891048801
19,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.79642638910488,0.7964263891048801
20,0.7964263891048801,0.7964263891048795,5,0.7964263891048795,0.7964263891048795,0.7964263891048795,0.79642638910488,0.79642638910488,0.7964263891048801
