island,n_provinces,n_terms,fs_r2_train,fs_r2_val,fs_r2_test,fs_spec_train,fs_spec_val,fs_spec_test,sindy_r2_train,sindy_r2_val,sindy_r2_test,delta_test,equation
A_coastal,13,10,0.6748,0.6526,0.5277,0.8754,0.8813,0.8261,0.6467,0.5955,0.3875,0.1403,dI/dt = 0.8796 rolling_incidence_4wk  - 0.6444 incidence_lag2  - 0.1718 incidence_lag4  - 0.0569 incidence_lag1 temp_lag4  + 0.0543 incidence_lag1 EIP  + 0.0525 temp_lag4 rolling_incidence_4wk  - 0.0520 incidence_lag2 week_cos  - 0.0245 week_cos  - 0.0149 week_sin  - 0.0091 EIP incidence_lag4
B_inland,19,9,0.6726,0.697,0.5515,0.8394,0.9029,0.9301,0.6124,0.6566,0.3935,0.1581,dI/dt = 2.1117 rolling_incidence_4wk  - 1.4402 incidence_lag1  - 0.3525 incidence_lag2  - 0.1072 incidence_lag4  - 0.0235 rolling_incidence_4wk week_sin  - 0.0078 rainfall_lag3 week_sin  - 0.0031 avg_humidity incidence_lag2  + 0.0018 rainfall_lag3 incidence_lag2  - 0.0012 incidence_lag1 rainfall_lag3
