island,generation,best_fitness
A_coastal,1,0.6413445456202151
A_coastal,2,0.6413445456202151
A_coastal,3,0.6413445456202151
A_coastal,4,0.6413445456202151
A_coastal,5,0.6413445456202151
A_coastal,6,0.6413445456202151
A_coastal,7,0.6413445456202151
A_coastal,8,0.6413445456202151
A_coastal,9,0.6413445456202151
A_coastal,10,0.6413445456202151
A_coastal,11,0.6413445456202151
A_coastal,12,0.6509437412881596
A_coastal,13,0.6509437412881596
A_coastal,14,0.6509437412881596
A_coastal,15,0.6509437412881596
A_coastal,16,0.6509437412881596
A_coastal,17,0.6509437412881596
A_coastal,18,0.6509437412881596
A_coastal,19,0.6509437412881596
A_coastal,20,0.6509437412881596
A_coastal,21,0.6509437412881596
A_coastal,22,0.6509437412881596
A_coastal,23,0.6509437412881596
A_coastal,24,0.6509437412881596
A_coastal,25,0.6509437412881596
A_coastal,26,0.6509437412881596
A_coastal,27,0.6509437412881596
A_coastal,28,0.6509437412881596
A_coastal,29,0.6509437412881596
A_coastal,30,0.6509437412881596
A_coastal,31,0.6509437412881596
A_coastal,32,0.6509437412881596
A_coastal,33,0.6509437412881596
A_coastal,34,0.6509437412881596
A_coastal,35,0.6509437412881596
A_coastal,36,0.6509437412881596
A_coastal,37,0.6514555939444661
A_coastal,38,0.6514555939444661
A_coastal,39,0.6514555939444661
A_coastal,40,0.6525867106429618
A_coastal,41,0.6525867106429618
A_coastal,42,0.6525867106429618
A_coastal,43,0.6525867106429618
A_coastal,44,0.6525867106429618
A_coastal,45,0.6525867106429618
A_coastal,46,0.6525867106429618
A_coastal,47,0.6525867106429618
A_coastal,48,0.6525867106429618
A_coastal,49,0.6525867106429618
A_coastal,50,0.6525867106429618
A_coastal,51,0.6525867106429618
A_coastal,52,0.6525867106429618
A_coastal,53,0.6525867106429618
A_coastal,54,0.6525867106429618
A_coastal,55,0.6525867106429618
A_coastal,56,0.6525867106429618
A_coastal,57,0.6525867106429618
A_coastal,58,0.6525867106429618
A_coastal,59,0.6525867106429618
A_coastal,60,0.6525867106429618
A_coastal,61,0.6525867106429618
A_coastal,62,0.6525867106429618
B_inland,1,0.6934410934878485
B_inland,2,0.6934410934878485
B_inland,3,0.6950686276280846
B_inland,4,0.6950686276280846
B_inland,5,0.6950686276280846
B_inland,6,0.6950686276280846
B_inland,7,0.6950686276280846
B_inland,8,0.6950686276280846
B_inland,9,0.6950973347262683
B_inland,10,0.6950973347262683
B_inland,11,0.6950973347262683
B_inland,12,0.6950973347262683
B_inland,13,0.6950973347262683
B_inland,14,0.6950973347262683
B_inland,15,0.6950973347262683
B_inland,16,0.6950973347262683
B_inland,17,0.6950973347262683
B_inland,18,0.6950973347262683
B_inland,19,0.6950973347262683
B_inland,20,0.6950973347262683
B_inland,21,0.6950973347262683
B_inland,22,0.6950973347262683
B_inland,23,0.6950973347262683
B_inland,24,0.6950973347262683
B_inland,25,0.6969006882745445
B_inland,26,0.6969087648831797
B_inland,27,0.6969087648831797
B_inland,28,0.6969087648831797
B_inland,29,0.6969087648831797
B_inland,30,0.696911812135103
B_inland,31,0.696911812135103
B_inland,32,0.696911812135103
B_inland,33,0.696911812135103
B_inland,34,0.696911812135103
B_inland,35,0.696911812135103
B_inland,36,0.696911812135103
B_inland,37,0.696911812135103
B_inland,38,0.696911812135103
B_inland,39,0.696911812135103
B_inland,40,0.696911812135103
B_inland,41,0.6969340090413253
B_inland,42,0.6969340090413253
B_inland,43,0.6969340090413253
B_inland,44,0.6969340090413253
B_inland,45,0.6969340090413253
B_inland,46,0.6969340090413253
B_inland,47,0.6969340090413253
B_inland,48,0.6969340090413253
B_inland,49,0.6969528605689966
B_inland,50,0.6969528605689966
