z1,z2,z3,z4,province,year,split
3.4283512,4.264538,-3.6158497,1.6817203,09 Espaillat,2018,train
1.4278386,3.2076254,-2.8208075,2.81225,09 Espaillat,2019,train
5.223486,2.6342072,-3.3506253,2.6247842,09 Espaillat,2020,val
4.4153786,3.0634575,-2.793841,2.1174903,09 Espaillat,2021,val
4.303093,2.593999,-2.632121,2.269985,09 Espaillat,2022,test
2.2640705,2.5962777,-2.5180469,2.429505,09 Espaillat,2023,test
0.6550694,1.6352694,-5.899194,2.927325,10 Independencia,2015,train
4.7179117,0.25939667,-5.5490904,3.4968505,10 Independencia,2016,train
3.135125,0.037420988,-5.421073,1.715515,10 Independencia,2017,train
2.2809973,1.0540432,-5.4535227,1.1844531,10 Independencia,2018,train
0.75891024,0.9863274,-4.1672516,2.4122941,10 Independencia,2019,train
2.8302376,0.47008598,-4.59951,2.2589567,10 Independencia,2020,val
2.2930508,0.9991153,-4.2347198,1.6410656,10 Independencia,2021,val
2.4768944,0.50294155,-4.082313,1.756167,10 Independencia,2022,test
1.1351303,1.0409763,-4.844365,2.174681,10 Independencia,2023,test
1.3954735,4.0078573,-8.583835,3.8763022,11 La Altagracia,2015,train
6.576803,1.9094241,-8.587968,4.3794856,11 La Altagracia,2016,train
5.734763,2.0855017,-6.334381,1.8154769,11 La Altagracia,2017,train
3.8090065,3.425068,-6.775569,1.2409313,11 La Altagracia,2018,train
1.8877926,2.7468913,-6.567399,2.7612877,11 La Altagracia,2019,train
5.5441875,1.6620867,-7.0337925,2.7750976,11 La Altagracia,2020,val
4.38459,2.3342438,-6.1885576,1.9399331,11 La Altagracia,2021,val
4.9378004,1.8597541,-5.9088964,2.0241508,11 La Altagracia,2022,test
2.7953634,2.3234332,-6.090542,2.4500387,11 La Altagracia,2023,test
0.5676573,3.013208,-6.369772,3.448619,12 La Romana,2015,train
5.2994347,1.3486459,-6.3905783,3.9204671,12 La Romana,2016,train
5.929387,1.8528013,-5.8439016,1.6573944,12 La Romana,2017,train
3.356518,2.970486,-5.9994717,0.9882836,12 La Romana,2018,train
1.3547676,2.4123528,-5.415601,2.7658398,12 La Romana,2019,train
4.8070545,1.3948425,-5.748742,2.8746567,12 La Romana,2020,val
3.8707907,2.0515034,-4.9929986,1.9519554,12 La Romana,2021,val
4.56458,1.6138082,-4.824415,2.119862,12 La Romana,2022,test
