province,year,month,week,total_cases,avg_temp,max_temp,min_temp,avg_rainfall,max_rainfall,min_rainfall,avg_humidity,max_humidity,min_humidity,population,diurnal_temp_range,consecutive_dry_weeks,consecutive_wet_weeks,extreme_rainfall_binary,cooling_degree_days,rainy_season_phase,school_calendar_active,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors,nino34_anom,soi_index,tna_sst_anom,solar_radiation,wind_speed,dew_point_temp,incidence,dI_dt,dI_dt_norm
01 Distrito Nacional,2015,1,1,5,24.42,29.3,20.9,0.45,1.2,0.0,75.3,95,50,1007997,8.400000000000002,1.0,0.0,0.0,6.420000000000002,0.0,0.0,1.0402996031503509,,,22.0,0.75,-1.1,0.17,4.8927,3.0425,20.0775,0.4960332223210982,0.5952398667853178,0.8018495898280019
01 Distrito Nacional,2015,1,2,11,23.84,29.3,20.2,0.73,1.9,0.0,76.3,93,45,1007997,9.1,2.0,0.0,0.0,5.84,0.0,0.0,1.0642829063288928,1.0402996031503509,,22.0,0.75,-1.1,0.17,4.745585714285714,2.5828571428571427,19.84142857142857,1.091273089106416,-0.14880996669632945,-0.20046239745700048
01 Distrito Nacional,2015,1,3,2,24.11,28.6,20.1,1.16,2.3,0.0,80.0,96,54,1007997,8.5,0.0,0.0,0.0,6.109999999999999,0.0,0.0,0.6514203488750443,1.0642829063288928,1.0402996031503509,22.0,0.75,-1.1,0.17,4.432571428571428,2.0157142857142856,20.574285714285715,0.19841328892843926,-0.2976199333926589,-0.40092479491400096
01 Distrito Nacional,2015,1,4,5,24.14,29.1,20.0,0.1,0.4,0.0,75.1,94,49,1007997,9.1,1.0,0.0,0.0,6.140000000000001,0.0,0.0,0.6531591385674507,0.6514203488750443,1.0642829063288928,22.0,0.75,-1.1,0.17,4.802714285714286,2.047142857142857,19.527142857142856,0.4960332223210982,0.1984132889284393,0.267283196609334
01 Distrito Nacional,2015,2,5,6,23.21,28.2,19.4,2.31,4.5,0.1,81.2,97,60,1007997,8.8,0.0,0.0,0.0,5.210000000000001,0.0,1.0,1.0684372875060613,0.6531591385674507,0.6514203488750443,22.0,0.75,-1.1,0.17,4.655228571428572,2.12,20.307142857142857,0.5952398667853178,0.04960332223210981,0.06682079915233348
01 Distrito Nacional,2015,2,6,6,23.83,28.4,20.2,0.86,2.9,0.0,78.3,95,52,1007997,8.2,1.0,0.0,0.0,5.829999999999998,0.0,1.0,0.9232072192108242,1.0684372875060613,0.6531591385674507,22.0,0.87,0.3,0.11,5.514271428571428,2.045714285714286,19.95142857142857,0.5952398667853178,0.04960332223210978,0.06682079915233344
01 Distrito Nacional,2015,2,7,7,24.26,29.8,20.3,0.7,2.2,0.0,75.7,95,51,1007997,9.5,2.0,0.0,0.0,6.260000000000002,0.0,1.0,0.7104143430859075,0.9232072192108242,1.0684372875060613,22.0,0.87,0.3,0.11,4.716685714285715,2.2385714285714284,19.942857142857143,0.6944465112495374,-0.04960332223210981,-0.06682079915233348
01 Distrito Nacional,2015,2,8,5,23.74,30.1,18.9,3.41,13.1,0.0,76.4,97,47,1007997,11.200000000000005,0.0,0.0,0.0,5.739999999999998,0.0,1.0,0.7744885371582073,0.7104143430859075,0.9232072192108242,22.0,0.87,0.3,0.11,5.1672,2.4085714285714284,20.21857142857143,0.4960332223210982,0.29761993339265896,0.400924794914001
01 Distrito Nacional,2015,3,9,13,24.11,29.5,19.8,1.8,5.0,0.0,76.0,96,45,1007997,9.7,0.0,0.0,0.0,6.109999999999999,0.0,1.0,1.2373292024837474,0.7744885371582073,0.7104143430859075,22.0,0.87,0.3,0.11,6.078228571428572,2.6885714285714286,20.037142857142857,1.2896863780348553,-0.04960332223210984,-0.06682079915233352
01 Distrito Nacional,2015,3,10,4,23.8,28.9,20.4,1.29,2.4,0.5,72.4,91,44,1007997,8.5,0.0,0.0,0.0,5.800000000000001,0.0,1.0,0.9313264403263266,1.2373292024837474,0.7744885371582073,22.0,0.9,-0.95,-0.11,5.965542857142857,3.0500000000000003,18.93142857142857,0.3968265778568785,-0.4464299000889884,-0.6013871923710015
01 Distrito Nacional,2015,3,11,4,24.31,30.2,20.1,1.8,4.4,0.0,71.8,91,38,1007997,10.099999999999998,0.0,0.0,0.0,6.309999999999999,0.0,1.0,0.8990079425456343,0.9313264403263266,1.2373292024837474,22.0,0.9,-0.95,-0.11,6.120842857142857,3.261428571428571,19.39428571428571,0.3968265778568785,0.0,0.0
01 Distrito Nacional,2015,3,12,4,24.36,29.7,20.1,0.4,1.0,0.0,73.1,93,38,1007997,9.599999999999998,1.0,0.0,0.0,6.359999999999999,0.0,1.0,1.0558086008147414,0.8990079425456343,0.9313264403263266,22.0,0.9,-0.95,-0.11,6.554314285714286,2.051428571428571,19.29142857142857,0.3968265778568785,0.09920664446421965,0.133641598304667
01 Distrito Nacional,2015,4,13,6,24.9,29.5,20.5,0.53,1.3,0.0,74.2,96,50,1007997,9.0,2.0,0.0,0.0,6.899999999999999,0.0,1.0,1.0053782654673398,1.0558086008147414,0.8990079425456343,22.0,0.9,-0.95,-0.11,6.680928571428572,2.051428571428571,19.674285714285716,0.5952398667853178,0.19841328892843926,0.267283196609334
01 Distrito Nacional,2015,4,14,8,24.36,29.6,20.4,1.5,4.1,0.0,72.8,92,43,1007997,9.200000000000005,0.0,0.0,0.0,6.359999999999999,0.0,1.0,0.8164295512171549,1.0053782654673398,1.0558086008147414,22.0,0.98,-0.05,-0.24,5.9783,2.541428571428572,19.0,0.793653155713757,0.1984132889284393,0.267283196609334
01 Distrito Nacional,2015,4,15,10,24.74,29.2,21.0,1.7,3.5,0.0,74.4,90,50,1007997,8.2,0.0,0.0,0.0,6.739999999999998,0.0,1.0,0.7895036997744542,0.8164295512171549,1.0053782654673398,22.0,0.98,-0.05,-0.24,6.149985714285714,2.8114285714285714,20.325714285714287,0.9920664446421964,0.5456365445532079,0.7350287906756683
01 Distrito Nacional,2015,4,16,19,25.27,30.5,21.2,0.46,0.7,0.0,72.0,96,42,1007997,9.3,1.0,0.0,0.0,7.27,0.0,1.0,1.1490488013163824,0.7895036997744542,0.8164295512171549,22.0,0.98,-0.05,-0.24,7.080585714285713,2.4657142857142857,19.69142857142857,1.884926244820173,0.0,0.0
01 Distrito Nacional,2015,5,17,10,25.74,30.8,21.5,0.4,1.1,0.0,75.5,97,52,1007997,9.3,2.0,0.0,0.0,7.739999999999998,1.0,1.0,0.9604835546513518,1.1490488013163824,0.7895036997744542,22.0,0.98,-0.05,-0.24,7.084014285714285,1.8871428571428568,20.23,0.9920664446421964,-0.09920664446421956,-0.13364159830466688
