province,year,month,week,total_cases,avg_temp,max_temp,min_temp,avg_rainfall,max_rainfall,min_rainfall,avg_humidity,max_humidity,min_humidity,population,diurnal_temp_range,consecutive_dry_weeks,consecutive_wet_weeks,extreme_rainfall_binary,cooling_degree_days,rainy_season_phase,school_calendar_active,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors,nino34_anom,soi_index,tna_sst_anom,solar_radiation,wind_speed,dew_point_temp,incidence,dI_dt,dI_dt_norm
01 Distrito Nacional,2015,1,1,0.006273525721455458,0.38992537313432857,0.3167701863354039,0.6083916083916083,0.012087026591458503,0.005185825410544511,0.0,0.5805739514348786,0.8214285714285714,0.5714285714285714,0.3223061259654139,0.3046357615894041,0.04,0.0,0.0,0.38992537313432857,0.0,0.0,0.03691678067642523,,,0.7894736842105263,0.7164179104477613,0.31578947368421056,0.3403141361256545,0.48275685292964615,0.336027397260274,0.5923115948713218,0.009656876522551717,0.5673028469640532,0.6334609064100638
01 Distrito Nacional,2015,1,2,0.013801756587202008,0.33582089552238814,0.3167701863354039,0.5594405594405594,0.0196078431372549,0.008210890233362142,0.0,0.6026490066225165,0.75,0.49206349206349204,0.3223061259654139,0.35099337748344367,0.08,0.0,0.0,0.33582089552238814,0.0,0.0,0.03776786851752141,0.03691678067642523,,0.7894736842105263,0.7164179104477613,0.31578947368421056,0.3403141361256545,0.45170230089563035,0.2772602739726028,0.5770685361129044,0.021245128349613777,0.5512400068056093,0.5907678522732084
01 Distrito Nacional,2015,1,3,0.002509410288582183,0.3610074626865672,0.2732919254658387,0.5524475524475526,0.031157668546870805,0.009939498703543647,0.0,0.6843267108167771,0.8571428571428571,0.6349206349206349,0.3223061259654139,0.31125827814569534,0.0,0.0,0.0,0.3610074626865672,0.0,0.0,0.023116746439924184,0.03776786851752141,0.03691678067642523,0.7894736842105263,0.7164179104477613,0.31578947368421056,0.3403141361256545,0.3856276951841017,0.20474885844748858,0.6243888940134673,0.0038627506090206857,0.5480274387739204,0.5822292414458373
01 Distrito Nacional,2015,1,4,0.006273525721455458,0.36380597014925387,0.3043478260869567,0.5454545454545455,0.0026860059092130005,0.001728608470181504,0.0,0.5761589403973509,0.7857142857142857,0.5555555555555556,0.3223061259654139,0.35099337748344367,0.04,0.0,0.0,0.36380597014925387,0.0,0.0,0.02317845031592549,0.023116746439924184,0.03776786851752141,0.7894736842105263,0.7164179104477613,0.31578947368421056,0.3403141361256545,0.4637616477187057,0.20876712328767125,0.5567752052393689,0.009656876522551717,0.5587359988795497,0.6106912775370743
01 Distrito Nacional,2015,2,5,0.0075282308657465494,0.2770522388059703,0.24844720496894412,0.5034965034965034,0.06204673650282031,0.01944684528954192,0.01234567901234568,0.7108167770419427,0.8928571428571429,0.7301587301587301,0.3223061259654139,0.33112582781456956,0.0,0.0,0.0,0.2770522388059703,0.0,1.0,0.037915293719164626,0.02317845031592549,0.023116746439924184,0.7894736842105263,0.7164179104477613,0.31578947368421056,0.3403141361256545,0.43262869032900103,0.21808219178082194,0.6071395627709619,0.011588251827062062,0.5555234308478609,0.6021526667097031
01 Distrito Nacional,2015,2,6,0.0075282308657465494,0.33488805970149244,0.2608695652173913,0.5594405594405594,0.023099650819231803,0.012532411408815903,0.0,0.6467991169977925,0.8214285714285714,0.6031746031746031,0.3223061259654139,0.2913907284768211,0.04,0.0,0.0,0.33488805970149244,0.0,1.0,0.032761560542066935,0.037915293719164626,0.02317845031592549,0.7894736842105263,0.7611940298507464,0.5614035087719298,0.3089005235602094,0.6139652000844364,0.20858447488584478,0.5841712019186419,0.011588251827062062,0.5555234308478609,0.6021526667097031
01 Distrito Nacional,2015,2,7,0.00878293601003764,0.3750000000000002,0.3478260869565219,0.5664335664335665,0.018802041364491002,0.009507346585998272,0.0,0.5894039735099339,0.8214285714285714,0.5873015873015873,0.3223061259654139,0.37748344370860926,0.08,0.0,0.0,0.3750000000000002,0.0,1.0,0.025210247522606012,0.032761560542066935,0.037915293719164626,0.7894736842105263,0.7611940298507464,0.5614035087719298,0.3089005235602094,0.4456017611049125,0.2332420091324201,0.583617747440273,0.013519627131572403,0.5533817188267351,0.5964602594914558
01 Distrito Nacional,2015,2,8,0.006273525721455458,0.32649253731343275,0.36645962732919274,0.46853146853146843,0.09159280150416332,0.05661192739844425,0.0,0.6048565121412806,0.8928571428571429,0.5238095238095238,0.3223061259654139,0.49006622516556325,0.0,0.0,0.0,0.32649253731343275,0.0,1.0,0.02748402803970185,0.025210247522606012,0.032761560542066935,0.7894736842105263,0.7611940298507464,0.5614035087719298,0.3089005235602094,0.5407014263743555,0.2549771689497717,0.6014205331611474,0.009656876522551717,0.5608777109006756,0.6163836847553217
01 Distrito Nacional,2015,3,9,0.01631116687578419,0.3610074626865672,0.329192546583851,0.5314685314685316,0.04834810636583401,0.021607605877268798,0.0,0.5960264900662252,0.8571428571428571,0.49206349206349204,0.3223061259654139,0.390728476821192,0.0,0.0,0.0,0.3610074626865672,0.0,1.0,0.04390870731306713,0.02748402803970185,0.025210247522606012,0.7894736842105263,0.7611940298507464,0.5614035087719298,0.3089005235602094,0.7330116703356354,0.2907762557077626,0.5897057467023337,0.025107878958634467,0.5533817188267351,0.5964602594914558
01 Distrito Nacional,2015,3,10,0.005018820577164366,0.3320895522388061,0.2919254658385093,0.5734265734265733,0.03464947622884771,0.010371650821089023,0.0617283950617284,0.5165562913907287,0.6785714285714286,0.47619047619047616,0.3223061259654139,0.31125827814569534,0.0,0.0,0.0,0.3320895522388061,0.0,1.0,0.03304968475578067,0.04390870731306713,0.02748402803970185,0.7894736842105263,0.7723880597014926,0.3421052631578948,0.193717277486911,0.7092246916558609,0.3369863013698631,0.5183101189927125,0.007725501218041374,0.5448148707422316,0.5736906306184663
