variant,val_r2_mean,val_r2s,n_active
union,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_8,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_18,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_14,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_13,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_9,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_20,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_6,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_5,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_4,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_3,-1.8036,"[0.662, -6.57, -0.254, -2.67, -0.185]",4
rand_7,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_1,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_11,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_12,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_15,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_16,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_17,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_2,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_19,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
rand_10,-2.1228,"[0.662, -8.165, -0.254, -2.67, -0.185]",3
