trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
86,0.8704,0.0139,"[256, 512]",64.0,False,True,0.00032,0.39,3e-05,32,elu,0.83,1160273,600
89,0.87,0.01394,"[256, 512]",64.0,False,True,0.00043,0.39,3e-05,32,elu,0.83,1160273,600
88,0.87,0.01393,"[256, 512]",64.0,False,True,0.00045,0.39,3.4e-05,32,elu,0.84,1160273,469
98,0.8698,0.01396,"[256, 512]",64.0,False,True,0.00038,0.37,2.2e-05,32,leakyrelu,0.88,1160273,353
85,0.8695,0.01399,"[256, 512]",64.0,False,True,0.00044,0.39,3.1e-05,32,elu,0.81,1160273,600
87,0.8693,0.01402,"[256, 512]",64.0,False,True,0.00043,0.38,3.9e-05,32,elu,0.84,1160273,509
84,0.8691,0.01404,"[256, 512]",64.0,False,True,0.00046,0.39,3.5e-05,32,elu,0.76,1160273,564
96,0.8688,0.01407,"[256, 512]",64.0,False,True,0.00038,0.38,2.4e-05,32,leakyrelu,0.88,1160273,281
92,0.8684,0.01411,"[256, 512]",64.0,False,True,0.00042,0.39,3.1e-05,32,leakyrelu,0.84,1160273,354
94,0.868,0.01416,"[256, 512]",64.0,False,True,0.00029,0.4,3.2e-05,32,leakyrelu,0.85,1160273,455
93,0.868,0.01415,"[256, 512]",64.0,False,True,0.00043,0.4,3.1e-05,32,leakyrelu,0.85,1160273,371
91,0.8678,0.01417,"[256, 512]",64.0,False,True,0.00043,0.4,3.1e-05,32,leakyrelu,0.84,1160273,264
90,0.8678,0.01417,"[256, 512]",64.0,False,True,0.00042,0.39,3.7e-05,32,leakyrelu,0.84,1160273,348
83,0.8667,0.01429,"[256, 512]",32.0,False,True,0.00045,0.39,3.4e-05,32,elu,0.77,1126993,464
82,0.8645,0.01453,"[256, 512]",32.0,False,True,0.00128,0.39,3.7e-05,32,elu,0.76,1126993,352
81,0.864,0.01458,"[256, 512]",32.0,False,True,0.0013,0.38,4e-05,32,elu,0.74,1126993,277
100,0.864,0.01458,"[256, 512]",64.0,False,True,0.00026,0.38,6.3e-05,32,leakyrelu,0.82,1160273,447
97,0.8633,0.01466,"[256, 512]",64.0,False,True,0.00032,0.38,6.4e-05,32,leakyrelu,0.88,1160273,369
62,0.8587,0.01515,"[512, 64, 512]",32.0,False,True,0.00114,0.34,4.8e-05,64,elu,0.61,1823185,306
73,0.85,0.01608,"[512, 64, 512]",32.0,False,True,0.00061,0.32,8.8e-05,64,elu,0.58,1823185,477
60,0.8484,0.01626,"[512, 128, 512, 128]",4.0,False,True,0.00165,0.33,3e-06,64,elu,0.6,2054289,240
75,0.8438,0.01675,"[256, 64, 512]",32.0,False,True,0.00104,0.32,8.1e-05,64,elu,0.66,963537,386
72,0.8423,0.0169,"[512, 64, 512]",32.0,False,True,0.00097,0.32,9.8e-05,64,elu,0.59,1823185,361
80,0.837,0.01747,"[256, 64, 512]",32.0,False,True,0.00135,0.39,8.6e-05,32,elu,0.64,963537,236
63,0.8363,0.01754,"[512, 64, 512]",32.0,False,True,0.00113,0.33,0.000127,64,elu,0.61,1823185,285
79,0.8362,0.01756,"[256, 64, 512]",32.0,False,True,0.00127,0.35,9.5e-05,64,elu,0.64,963537,381
78,0.8359,0.01759,"[256, 64, 512]",32.0,False,True,0.00099,0.34,9.4e-05,64,elu,0.59,963537,388
61,0.8339,0.0178,"[512, 64, 512]",32.0,False,True,0.00109,0.33,0.000127,64,elu,0.59,1823185,298
65,0.8337,0.01783,"[512, 64, 512]",32.0,False,True,0.00106,0.34,0.000131,64,elu,0.58,1823185,330
76,0.8315,0.01806,"[256, 64, 512]",32.0,False,True,0.00061,0.32,0.000137,64,elu,0.72,963537,513
67,0.8315,0.01806,"[64, 64, 512]",32.0,False,True,0.00086,0.36,8.2e-05,64,elu,0.66,318801,600
55,0.8283,0.0184,"[512, 128, 64, 128]",4.0,False,True,0.00221,0.29,6.3e-05,64,elu,0.62,1822225,187
45,0.8265,0.0186,"[512, 128, 64, 256]",4.0,False,True,0.00168,0.29,2e-06,64,relu,0.46,1840401,181
42,0.8259,0.01866,"[512, 128, 64, 256]",4.0,False,True,0.00201,0.29,2e-06,64,relu,0.27,1840401,183
66,0.8242,0.01885,"[256, 64, 512]",32.0,False,True,0.00106,0.35,0.000129,64,elu,0.58,963537,363
68,0.824,0.01887,"[64, 64, 512]",32.0,False,True,0.00083,0.36,0.000103,64,elu,0.65,318801,574
50,0.8218,0.0191,"[512, 128, 64, 512]",4.0,False,True,0.00074,0.37,5.4e-05,64,relu,0.53,1876753,262
