trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
88,0.8888,0.01192,"[256, 512]",32.0,False,True,0.00229,0.06,3e-06,64,elu,0.53,1127058,297
69,0.8869,0.01212,"[256, 1024]",32.0,False,True,0.0035,0.01,0.0,64,elu,0.18,1425042,188
74,0.8824,0.0126,"[256, 1024]",32.0,False,True,0.00221,0.0,1e-06,64,elu,0.17,1425042,220
81,0.8821,0.01264,"[256, 1024, 128]",32.0,False,True,0.00137,0.04,3e-06,64,elu,0.12,1630610,437
82,0.8809,0.01277,"[256, 1024, 128]",32.0,False,True,0.00128,0.04,0.0,64,elu,0.12,1630610,324
72,0.88,0.01287,"[256, 1024]",32.0,False,True,0.00271,0.0,1e-06,64,elu,0.19,1425042,168
98,0.8762,0.01328,"[512, 512]",32.0,False,True,0.00066,0.03,2.2e-05,16,elu,0.66,2216082,260
91,0.8677,0.01418,"[512, 512]",32.0,False,True,0.00137,0.05,2.9e-05,16,elu,0.57,2216082,156
95,0.8675,0.0142,"[512, 512]",32.0,False,True,0.00138,0.05,2.7e-05,16,elu,0.62,2216082,183
42,0.867,0.01425,"[256, 1024, 1024]",4.0,False,True,0.00248,0.03,3e-06,64,elu,0.13,3470490,461
53,0.8663,0.01433,"[256, 1024, 1024]",4.0,False,True,0.0023,0.0,5e-06,64,elu,0.14,3470490,541
92,0.8661,0.01436,"[512, 512]",32.0,False,True,0.00139,0.05,3.1e-05,16,elu,0.61,2216082,155
93,0.866,0.01436,"[512, 512]",32.0,False,True,0.00133,0.09,3.2e-05,16,elu,0.58,2216082,275
99,0.8632,0.01467,"[512, 512]",32.0,False,True,0.00063,0.07,5.7e-05,16,elu,0.73,2216082,207
52,0.8624,0.01475,"[256, 1024, 1024]",4.0,False,True,0.00238,0.01,3e-06,64,elu,0.14,3470490,275
54,0.8609,0.01492,"[256, 1024, 1024]",4.0,False,True,0.0031,0.0,4e-06,64,elu,0.2,3470490,197
39,0.8579,0.01524,"[256, 1024, 1024]",4.0,False,True,0.00252,0.04,7e-06,64,elu,0.16,3470490,297
90,0.8561,0.01542,"[256, 512]",32.0,True,True,0.00213,0.04,7.8e-05,64,leakyrelu,0.54,574010,397
94,0.856,0.01544,"[512, 512]",32.0,False,True,0.00162,0.08,5.8e-05,16,elu,0.64,2216082,120
56,0.8554,0.0155,"[256, 1024, 1024, 1024]",4.0,False,True,0.0037,0.01,3e-06,64,relu,0.25,5573786,368
58,0.8547,0.01558,"[1024, 256, 64, 1024]",4.0,False,True,0.00462,0.05,1e-06,64,relu,0.24,4013594,235
73,0.8517,0.0159,"[256, 1024]",32.0,False,True,0.00272,0.01,3.2e-05,64,elu,0.19,1425042,382
43,0.8499,0.01609,"[256, 1024, 1024]",4.0,False,True,0.00259,0.02,1.4e-05,64,elu,0.13,3470490,269
37,0.8492,0.01617,"[256, 1024, 1024]",64.0,False,True,0.0022,0.03,1.4e-05,32,elu,0.15,3594450,209
40,0.8475,0.01635,"[256, 1024, 1024]",4.0,False,True,0.00234,0.03,1.2e-05,64,elu,0.14,3470490,304
96,0.846,0.01651,"[512, 512]",32.0,False,True,0.00109,0.1,9.5e-05,16,elu,0.54,2216082,138
62,0.8423,0.0169,"[1024, 256, 64, 1024]",4.0,False,True,0.0048,0.05,3e-06,64,relu,0.23,4013594,268
77,0.8372,0.01745,"[256, 1024]",32.0,False,True,0.00149,0.13,3.3e-05,64,elu,0.16,1425042,307
