trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
99,0.8552,0.01552,[256],8.0,True,True,0.00242,0.27,3e-06,32,relu,0.14,423608,534
83,0.8434,0.01679,[256],,True,False,0.0017,0.25,2.2e-05,64,relu,0.16,422016,596
68,0.8394,0.01722,[1024],32.0,True,False,0.00204,0.29,1e-06,64,relu,0.12,1692704,600
63,0.8333,0.01787,[256],4.0,True,False,0.00197,0.25,2e-06,64,relu,0.15,422036,600
64,0.8305,0.01817,[256],4.0,True,False,0.00193,0.27,2e-06,64,relu,0.15,422036,600
82,0.8301,0.01822,[256],32.0,True,False,0.00202,0.26,3e-06,64,relu,0.15,429344,600
100,0.83,0.01822,[256],8.0,True,True,0.00283,0.21,5.5e-05,32,relu,0.24,423608,355
76,0.8273,0.01851,[256],64.0,True,False,0.00258,0.27,0.0,64,relu,0.13,437696,600
54,0.8254,0.01871,[256],4.0,True,False,0.00237,0.25,6e-06,64,relu,0.21,422036,600
84,0.8241,0.01885,[256],,True,False,0.00203,0.26,3e-05,64,relu,0.15,422016,339
55,0.8165,0.01967,[256],4.0,True,False,0.0023,0.26,9e-06,64,relu,0.21,422036,600
92,0.8124,0.02011,[256],32.0,True,False,0.00205,0.27,1e-06,64,relu,0.13,429344,600
65,0.8065,0.02074,[256],4.0,True,False,0.00199,0.27,5e-06,64,relu,0.13,422036,487
53,0.8051,0.0209,[256],4.0,True,False,0.00221,0.24,1e-05,64,relu,0.2,422036,600
66,0.8045,0.02096,[256],32.0,True,False,0.00142,0.26,1e-06,64,relu,0.11,429344,600
74,0.797,0.02176,[512],32.0,True,False,0.00201,0.28,6e-06,64,relu,0.22,850464,448
48,0.7965,0.02182,[256],4.0,True,False,0.0024,0.23,7.2e-05,64,relu,0.29,422036,233
51,0.7965,0.02181,[256],4.0,True,False,0.00225,0.24,2.2e-05,64,relu,0.21,422036,227
62,0.7963,0.02184,[256],4.0,True,False,0.00228,0.25,6.3e-05,64,relu,0.15,422036,431
58,0.7961,0.02185,[256],4.0,True,False,0.00338,0.25,0.000109,64,relu,0.2,422036,308
52,0.7958,0.02189,[256],4.0,True,False,0.00224,0.24,5.7e-05,64,relu,0.2,422036,261
59,0.7958,0.02189,[512],8.0,True,False,0.00345,0.28,0.00011,64,relu,0.12,838056,194
61,0.7957,0.02191,[256],4.0,True,False,0.00395,0.31,3.1e-05,64,relu,0.19,422036,184
81,0.7956,0.02191,[256],4.0,True,False,0.00318,0.22,7.6e-05,64,relu,0.25,422036,155
47,0.7956,0.02191,[256],4.0,True,False,0.00272,0.23,0.000178,64,relu,0.29,422036,191
96,0.7955,0.02193,[256],32.0,True,False,0.00157,0.31,2.4e-05,64,leakyrelu,0.21,429344,250
57,0.7951,0.02196,[256],4.0,True,False,0.00228,0.31,4.9e-05,64,relu,0.15,422036,172
98,0.7951,0.02197,[64],32.0,True,False,0.00134,0.26,2.1e-05,64,relu,0.19,113504,266
46,0.7947,0.02201,[256],4.0,True,False,0.00156,0.24,0.000182,64,relu,0.28,422036,264
72,0.7947,0.02201,[1024],32.0,True,False,0.00147,0.26,6e-06,64,relu,0.11,1692704,295
39,0.7942,0.02207,[256],4.0,True,False,0.00165,0.23,0.000273,64,relu,0.26,422036,216
44,0.7941,0.02208,[256],4.0,True,False,0.00088,0.23,0.000358,64,relu,0.27,422036,359
91,0.7941,0.02208,"[256, 128]",,True,False,0.00355,0.29,2.5e-05,64,relu,0.12,454400,237
93,0.794,0.02208,[256],32.0,True,False,0.00171,0.27,6.1e-05,64,relu,0.15,429344,390
80,0.7939,0.0221,[64],64.0,True,False,0.00261,0.27,4.1e-05,64,leakyrelu,0.19,115712,289
43,0.7937,0.02212,[256],4.0,True,False,0.00098,0.22,0.00034,64,relu,0.28,422036,325
70,0.7937,0.02211,"[1024, 128, 256]",,True,False,0.0029,0.29,0.000141,64,relu,0.15,1825024,235
5,0.7934,0.02215,[256],16.0,True,False,0.00053,0.33,0.000861,32,elu,0.85,425168,368
42,0.7931,0.02218,[256],4.0,True,False,0.00105,0.21,0.00036,64,relu,0.26,422036,502
69,0.7931,0.02218,[1024],32.0,True,False,0.00197,0.29,3.3e-05,64,relu,0.14,1692704,285
97,0.793,0.02219,[256],64.0,True,False,0.00182,0.25,5.5e-05,64,relu,0.12,437696,237
85,0.7927,0.02223,[256],,True,False,0.00154,0.26,3.6e-05,64,relu,0.16,422016,326
67,0.7925,0.02224,[256],32.0,True,False,0.0013,0.27,0.000141,64,relu,0.1,429344,296
73,0.7925,0.02224,[256],32.0,True,False,0.00124,0.2,3.9e-05,64,relu,0.17,429344,265
79,0.7922,0.02227,[256],64.0,True,False,0.00449,0.28,0.000218,64,relu,0.23,437696,262
75,0.7921,0.02229,[256],32.0,True,False,0.00167,0.32,4.9e-05,64,relu,0.1,429344,391
89,0.7919,0.02231,"[1024, 64]",,True,False,0.00203,0.25,8.8e-05,64,relu,0.22,1725632,239
94,0.7912,0.02239,[256],32.0,True,False,0.0025,0.26,9.3e-05,64,relu,0.1,429344,206
86,0.7911,0.0224,[256],,True,False,0.00176,0.32,6.5e-05,64,relu,0.17,422016,238
77,0.791,0.02241,[1024],64.0,True,False,0.00262,0.25,0.000126,64,relu,0.17,1725632,166
88,0.7909,0.02242,[512],,True,False,0.00252,0.28,0.000159,64,relu,0.14,835968,255
32,0.7896,0.02256,"[128, 1024]",16.0,True,False,0.00058,0.17,0.000467,64,relu,0.24,363088,560
13,0.7893,0.02259,[64],16.0,True,False,0.00035,0.11,0.000429,32,leakyrelu,0.5,112400,558
20,0.789,0.02262,"[128, 1024]",16.0,True,False,0.00051,0.17,0.000446,64,relu,0.24,363088,525
22,0.7889,0.02263,"[128, 1024]",16.0,True,False,0.00052,0.17,0.000449,64,relu,0.24,363088,572
21,0.7884,0.02269,[512],16.0,True,False,0.00022,0.33,0.000868,32,elu,0.39,842192,600
12,0.7878,0.02275,"[64, 128]",,True,False,0.00031,0.1,0.000394,32,leakyrelu,0.56,120128,515
23,0.7878,0.02275,"[128, 1024]",16.0,True,False,0.00044,0.08,0.000307,64,relu,0.21,363088,600
33,0.7877,0.02276,"[128, 1024]",16.0,True,False,0.0006,0.14,0.000592,64,relu,0.24,363088,509
16,0.787,0.02284,[64],16.0,True,False,0.00024,0.03,0.000506,32,elu,0.45,112400,600
14,0.7866,0.02287,[128],16.0,True,False,0.00036,0.13,0.000915,32,leakyrelu,0.45,216656,563
34,0.7864,0.0229,[128],16.0,True,False,0.00069,0.24,0.000551,64,relu,0.17,216656,533
56,0.7844,0.02311,[256],4.0,True,False,0.00219,0.26,1e-06,64,relu,0.2,422036,446
71,0.7812,0.02345,"[1024, 512, 64, 256]",8.0,True,True,0.00192,0.34,8.9e-05,16,relu,0.13,2239864,209
87,0.781,0.02348,[256],,True,True,0.00116,0.34,0.000121,16,relu,0.16,422528,155
1,0.7708,0.02458,"[64, 128]",,True,False,0.00017,0.12,0.000366,32,leakyrelu,0.59,120128,600
2,0.7701,0.02465,[256],4.0,True,True,0.00076,0.22,0.000185,16,elu,0.17,422556,380
36,0.7647,0.02523,[128],32.0,True,True,0.00041,0.16,0.000223,16,elu,0.17,219104,364
