z1,z2,z3,z4,z5,z6,province,year,split
1.6582208,-1.3740844,-3.354181,-0.5081189,0.24936858,4.1965733,08 El Seibo,2020,val
-0.99140584,-1.0548872,-6.71152,-2.3128223,-2.647861,1.5663375,08 El Seibo,2021,val
-0.31721327,-1.9839692,1.4325444,0.4671063,2.9263415,-0.41287187,09 Espaillat,2015,train
2.661962,0.053998604,0.053331107,0.12669612,3.1811233,1.7926388,09 Espaillat,2016,train
0.9500699,0.9849627,-1.7568207,0.15584934,1.5850804,0.38893822,09 Espaillat,2017,train
-2.1679935,0.48345235,-2.575453,0.9951728,1.6127969,-1.3885685,09 Espaillat,2018,train
-0.33551875,-1.0709296,-0.10538731,-1.2604631,0.40866187,-0.9126656,09 Espaillat,2019,train
0.44723284,-0.26601267,-2.0036395,-1.2941353,3.032064,2.8272572,09 Espaillat,2020,val
0.062184904,0.97004753,-1.8607746,0.2737839,1.227317,-0.9790648,09 Espaillat,2021,val
-1.5616567,-3.4528582,1.5048984,0.77443236,-1.8969829,1.7826136,10 Independencia,2015,train
4.008768,-1.5918946,1.176596,-1.4735088,-3.666244,2.9513962,10 Independencia,2016,train
1.3574591,0.09600263,-2.4404325,-0.7393092,-7.072303,1.8137726,10 Independencia,2017,train
-3.961859,-0.77093583,-2.3784764,1.5367051,-4.5484176,2.4256575,10 Independencia,2018,train
0.25245985,-1.4971162,1.4673498,0.16999006,-3.331474,-0.31937882,10 Independencia,2019,train
1.3239353,-0.16168506,0.78177816,1.6165575,-3.1176362,3.7904983,10 Independencia,2020,val
-0.020766733,0.3935597,-0.34541076,1.9755769,-4.257372,0.47033563,10 Independencia,2021,val
0.64277595,-3.4557955,-0.86779827,1.7741574,1.341326,-0.27557898,11 La Altagracia,2015,train
4.515638,-2.8806858,-2.4254854,-0.33225074,0.7254513,1.7123952,11 La Altagracia,2016,train
0.7950888,-1.5319966,-4.349768,0.25040475,0.8242601,3.333167,11 La Altagracia,2017,train
-1.1945055,-1.9924741,-5.657653,1.5768057,-0.0019005251,-0.70035636,11 La Altagracia,2018,train
0.99389166,-3.465664,-1.6504282,-0.9559227,-0.40796033,-0.9659606,11 La Altagracia,2019,train
3.482035,-2.1716404,-2.8521135,0.19421555,-0.08036488,1.9178827,11 La Altagracia,2020,val
1.2033225,-1.2083908,-3.8971806,1.3581982,-0.88542783,-1.1387447,11 La Altagracia,2021,val
0.12707995,-2.427295,0.5720419,2.1218467,0.039763592,-0.52896035,12 La Romana,2015,train
3.7694283,-1.5867696,-0.60000104,0.5338311,0.6049779,2.6134613,12 La Romana,2016,train
0.6481099,-0.38939098,-5.174454,-0.77438635,-0.4377316,3.7661946,12 La Romana,2017,train
-1.5790406,-1.2011644,-4.9569836,0.810248,-2.1925948,-1.50355,12 La Romana,2018,train
0.99285984,-2.1217663,-0.74759024,-0.30085203,-0.8761987,-1.1107707,12 La Romana,2019,train
3.4195905,-0.9081571,-1.408616,1.3199036,-0.46399114,1.3166703,12 La Romana,2020,val
0.9607271,-0.25284606,-2.6348205,1.8267728,-1.3034889,-0.83731526,12 La Romana,2021,val
-2.465914,0.51976573,4.542255,0.61739427,2.09817,-1.0388906,13 La Vega,2015,train
1.2110975,3.1239407,3.490214,-0.16797519,2.3170865,2.0479934,13 La Vega,2016,train
-0.71369666,3.4474657,0.2208668,-1.2303052,1.6295146,-0.12343764,13 La Vega,2017,train
-3.9431648,3.3360262,0.21777008,-0.07539645,1.1724776,-2.3830552,13 La Vega,2018,train
-1.9277829,0.85417616,1.9473486,-2.4690518,0.12297235,-1.1536943,13 La Vega,2019,train
-0.0011261852,2.8672519,1.3743815,-1.9153461,2.0112345,0.93487644,13 La Vega,2020,val
-2.3520904,3.286389,0.31382564,-1.0833923,1.6687914,-0.17248274,13 La Vega,2021,val
-0.6373573,-1.3341593,0.94398606,0.26753536,2.5761542,-0.47441784,14 María Trinidad Sánchez,2015,train
2.5242186,0.078923464,0.033939525,-0.7096211,3.0588658,1.2633301,14 María Trinidad Sánchez,2016,train
0.5971457,0.907553,-2.9123847,-1.4406183,2.1313367,1.8401911,14 María Trinidad Sánchez,2017,train
-2.1981683,0.5037183,-3.375357,-0.5547635,1.9336361,-1.7194417,14 María Trinidad Sánchez,2018,train
0.20109855,-0.9956325,-0.44002518,-1.4339714,1.0452334,-0.95870215,14 María Trinidad Sánchez,2019,train
1.927797,0.176028,-1.322162,-1.0282701,2.2455838,0.23222418,14 María Trinidad Sánchez,2020,val
0.1310068,1.0161057,-2.6030436,-0.73962796,1.2537514,-0.9695096,14 María Trinidad Sánchez,2021,val
