trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
97,0.8443,0.01669,[256],32.0,True,True,0.00228,0.33,2.5e-05,64,leakyrelu,0.67,428275,600
99,0.8442,0.01671,[64],32.0,True,True,0.00252,0.28,2.6e-05,64,leakyrelu,0.66,112051,600
98,0.8442,0.0167,[256],32.0,True,True,0.00211,0.28,2.6e-05,64,leakyrelu,0.66,428275,600
73,0.8441,0.01671,[256],32.0,True,True,0.00279,0.33,1.7e-05,64,leakyrelu,0.67,428275,441
54,0.844,0.01672,[256],8.0,False,True,0.00366,0.37,2e-06,64,leakyrelu,0.64,832687,302
82,0.844,0.01673,[256],32.0,True,True,0.00497,0.34,1.9e-05,64,leakyrelu,0.68,428275,341
79,0.8439,0.01674,[256],32.0,True,True,0.00495,0.32,1.7e-05,64,leakyrelu,0.71,428275,281
77,0.8433,0.0168,[256],32.0,True,True,0.0048,0.35,2.5e-05,64,leakyrelu,0.71,428275,324
94,0.8432,0.01681,[256],32.0,True,True,0.00293,0.33,2.6e-05,64,leakyrelu,0.67,428275,424
100,0.8431,0.01682,[64],32.0,True,True,0.00209,0.3,2.7e-05,64,leakyrelu,0.66,112051,600
66,0.8389,0.01727,[256],32.0,True,True,0.00437,0.34,7.5e-05,64,leakyrelu,0.74,428275,375
95,0.8388,0.01728,[256],32.0,True,True,0.00297,0.32,6.3e-05,64,leakyrelu,0.61,428275,413
69,0.8379,0.01738,[256],32.0,True,True,0.00334,0.34,7.9e-05,64,leakyrelu,0.7,428275,478
83,0.8376,0.01741,[256],32.0,True,True,0.00491,0.34,9.1e-05,64,leakyrelu,0.67,428275,424
70,0.8375,0.01742,[256],32.0,True,True,0.00343,0.34,8.3e-05,64,leakyrelu,0.7,428275,431
57,0.8365,0.01753,[256],8.0,False,True,0.00379,0.38,2.8e-05,64,leakyrelu,0.72,832687,309
55,0.8363,0.01755,[256],8.0,False,True,0.00382,0.37,1.6e-05,64,leakyrelu,0.64,832687,261
59,0.8361,0.01757,[256],8.0,False,True,0.00385,0.37,3.8e-05,64,leakyrelu,0.78,832687,252
85,0.8361,0.01758,[64],32.0,True,True,0.00449,0.35,9.3e-05,64,leakyrelu,0.76,112051,271
61,0.836,0.01758,[256],8.0,True,True,0.00423,0.37,4.9e-05,64,leakyrelu,0.81,421987,367
76,0.836,0.01758,[1024],32.0,True,True,0.00351,0.38,7.7e-05,64,leakyrelu,0.71,1693171,279
62,0.8357,0.01762,[256],8.0,True,True,0.00432,0.37,5e-05,64,leakyrelu,0.8,421987,404
71,0.8356,0.01763,[256],32.0,True,True,0.00232,0.34,8.3e-05,64,leakyrelu,0.69,428275,394
63,0.8352,0.01767,[256],8.0,True,True,0.00445,0.36,5.4e-05,64,leakyrelu,0.8,421987,421
64,0.8338,0.01781,[256],8.0,True,True,0.00491,0.4,4.5e-05,64,leakyrelu,0.85,421987,487
