z1,z2,z3,z4,z5,z6,z7,z8,province,year,split
-0.1436201,-1.3506155,0.18981849,-0.017342485,0.3906356,0.54582864,0.3692014,-0.8808208,18 Puerto Plata,2019,train
-0.17184271,-0.5304916,0.7557529,-0.10707824,0.08712992,0.3149711,-0.30937096,-1.2827181,18 Puerto Plata,2020,val
-0.94822913,-0.6709201,0.4369851,0.16361217,0.7418644,-0.107605524,0.1451462,-1.1988415,18 Puerto Plata,2021,val
0.5216164,-0.26182595,0.46275598,0.547149,0.45700836,1.1817565,0.3395809,1.1284734,19 Hermanas Mirabal,2015,train
1.0369673,0.43552372,1.2780198,0.6412906,0.2617647,-0.0044555087,-0.7984577,0.24195372,19 Hermanas Mirabal,2016,train
-0.5702342,-0.11106027,0.49048898,-0.32911664,-0.15778352,-0.5129636,-1.8661292,0.31762412,19 Hermanas Mirabal,2017,train
-1.4736423,0.39662877,-0.039173402,0.54581285,0.3798639,0.46811098,-0.40684023,0.8316822,19 Hermanas Mirabal,2018,train
-0.28793973,-0.33126783,-0.19175562,-0.059726562,0.24028577,0.5839799,-0.63615406,1.139575,19 Hermanas Mirabal,2019,train
0.32215637,0.57771426,0.2695957,0.29380324,-0.17109771,0.5798197,-1.7495892,0.4206276,19 Hermanas Mirabal,2020,val
-1.531348,1.05385,0.16432492,0.0008125433,0.7796865,-0.1841637,-0.5540542,0.731296,19 Hermanas Mirabal,2021,val
0.19937372,-0.41346082,0.54371125,0.4501936,-0.050901115,1.2757174,1.0076417,-0.81505704,20 Samaná,2015,train
0.4558056,0.029014258,1.2584522,0.11737907,-0.38327232,0.33086628,-0.054352675,-1.313392,20 Samaná,2016,train
-0.70013547,0.13711181,0.6287781,-0.34624365,0.13855782,-0.08094953,-0.67414767,-1.0150101,20 Samaná,2017,train
-1.1709626,0.11819028,-0.5550198,0.19384322,0.08198847,1.1341345,-0.21697067,-0.772105,20 Samaná,2018,train
-0.31209156,-0.6646945,0.012404213,-0.17648676,-0.29517236,1.0122275,-0.13745058,-0.6137614,20 Samaná,2019,train
0.7445359,0.34806114,-0.09758842,1.2936665,-0.13612515,1.1945301,-1.9021108,-1.1720017,20 Samaná,2020,val
-0.9938115,1.4440943,-0.2593983,0.8762186,0.877426,0.7994637,-0.3485961,-0.9720116,20 Samaná,2021,val
-0.50005096,-0.22644825,0.29870984,0.35568255,-0.039968956,0.7616723,1.1048965,0.15052651,21 San Cristóbal,2015,train
0.4517387,-0.57575494,1.5004656,-0.73851615,-0.8881635,-0.63075876,-0.57508063,-0.31094894,21 San Cristóbal,2016,train
-0.8642297,0.43460974,0.9367525,0.32312056,-0.43761116,-0.53517324,-0.41632178,-0.9020527,21 San Cristóbal,2017,train
-1.9906497,-0.12786002,0.13554068,0.3027569,-0.053601906,0.115988724,0.39477494,-0.4653141,21 San Cristóbal,2018,train
-1.0318674,-1.0109977,0.606738,-0.6520985,-0.50353885,0.052929357,0.17636299,-0.02524563,21 San Cristóbal,2019,train
