trial,val_r2,val_mse,hidden_dims,monotone,pre_bottleneck,shallow_decoder,use_batchnorm,scheduler,optimizer,clip_norm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
37,0.8816,0.012689,"[512, 256]",False,,False,False,cosine_wr,adamw,5.0,0.000488,0.275,2e-07,128,selu,0.447,1919058,1000
60,0.8816,0.01269,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.00027,0.232,1e-06,128,elu,0.289,19482450,475
98,0.8814,0.012711,"[2048, 256, 256]",True,128.0,False,True,plateau,adamw,0.0,0.001043,0.268,2e-07,64,elu,0.377,7867218,495
69,0.8813,0.012727,"[2048, 2048, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000697,0.219,1.6e-06,128,elu,0.719,15577682,684
176,0.8812,0.012732,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000758,0.135,1.35e-05,128,elu,0.47,4527698,335
12,0.8811,0.012743,"[512, 256, 128]",True,64.0,False,True,plateau,adamw,0.0,0.001029,0.003,1.45e-05,64,elu,0.405,2002898,287
104,0.8808,0.012782,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000656,0.263,7e-07,128,elu,0.394,19482450,306
107,0.8808,0.012781,"[2048, 1024]",True,32.0,False,True,plateau,adam,0.0,0.000847,0.233,1e-07,64,elu,0.273,10883218,325
170,0.8806,0.012802,"[1024, 512, 128]",True,128.0,False,True,plateau,adam,0.0,0.00092,0.022,7.2e-06,128,elu,0.524,4527698,412
193,0.8804,0.012825,"[2048, 1024, 512]",True,,False,True,plateau,adam,0.0,0.00064,0.098,5.8e-06,128,elu,0.286,11874898,425
144,0.8803,0.01283,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.000592,0.352,9.8e-06,32,elu,0.533,19482450,535
152,0.8803,0.012828,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.00087,0.383,7e-06,128,elu,0.408,19482450,510
80,0.8803,0.012834,"[2048, 1024, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000564,0.285,3.7e-06,32,elu,0.435,11115090,384
151,0.8802,0.012844,"[2048, 1024]",True,128.0,False,True,plateau,adamw,1.0,0.001235,0.244,1.34e-05,32,elu,0.446,11081554,282
187,0.8802,0.012843,"[1024, 1024, 512]",True,32.0,False,True,plateau,adamw,1.0,0.000699,0.053,1.03e-05,128,elu,0.462,6497426,367
83,0.8801,0.012859,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.00068,0.214,4e-07,128,elu,0.484,19482450,448
30,0.88,0.012865,"[1024, 256]",False,,False,True,none,adamw,1.0,0.000211,0.265,3e-07,128,relu,0.405,3838034,555
171,0.88,0.012869,"[1024, 128, 128]",True,128.0,False,True,none,adamw,5.0,0.000651,0.045,8.2e-06,128,elu,0.503,3640658,432
36,0.8799,0.012878,"[1024, 256]",False,,False,False,cosine_wr,adamw,5.0,0.0019,0.354,1e-07,128,selu,0.374,3832914,781
184,0.8799,0.012872,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000848,0.021,1.94e-05,128,elu,0.505,4527698,343
137,0.8799,0.012873,"[2048, 2048, 128]",True,128.0,False,True,cosine_wr,adam,0.0,0.00034,0.355,3.7e-06,128,elu,0.416,15577682,822
122,0.8799,0.012878,"[2048, 2048, 1024]",True,64.0,False,True,plateau,adam,0.0,0.000391,0.233,2e-07,128,elu,0.307,19350226,424
142,0.8798,0.012887,"[1024, 2048, 1024]",False,128.0,False,True,plateau,adam,0.0,0.000667,0.421,5.1e-06,32,elu,0.363,11980626,602
26,0.8797,0.012895,"[1024, 512, 128]",True,16.0,False,True,none,adam,5.0,0.000665,0.025,1.3e-06,64,elu,0.524,4497010,264
108,0.8795,0.012916,"[2048, 256, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000343,0.332,2e-07,128,elu,0.612,7768146,639
115,0.8795,0.012924,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000427,0.267,2e-07,128,elu,0.557,19482450,530
58,0.8795,0.012921,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.00043,0.252,6e-07,128,elu,0.212,19482450,451
75,0.8795,0.012914,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000583,0.211,2e-07,128,elu,0.591,19482450,507
20,0.8793,0.012939,[256],False,32.0,False,True,none,adam,5.0,0.000381,0.285,4e-07,32,elu,0.551,845458,1000
112,0.8792,0.012947,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000619,0.244,1e-07,128,elu,0.502,19482450,376
87,0.8792,0.012952,"[2048, 128, 128]",True,128.0,False,True,plateau,adamw,0.0,0.001193,0.009,2e-07,128,elu,0.426,7210322,350
143,0.8792,0.012953,"[1024, 2048, 1024]",False,128.0,False,True,plateau,adam,0.0,0.000385,0.395,6.4e-06,32,elu,0.476,11980626,484
62,0.8791,0.012965,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000325,0.252,5e-07,128,elu,0.42,19482450,432
56,0.8789,0.01298,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000631,0.238,2e-07,128,elu,0.47,19482450,349
198,0.8788,0.012997,"[2048, 2048, 256]",True,128.0,False,True,plateau,adamw,0.0,0.00084,0.106,4e-06,64,elu,0.347,16135506,260
