trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
54,0.8001,0.02143,"[512, 128, 1024]",4.0,True,False,0.00414,0.21,0.00043,32,relu,0.34,1032562,251
63,0.8,0.02144,"[512, 128, 1024, 512]",4.0,True,False,0.00271,0.21,0.000445,32,relu,0.28,1555314,189
52,0.7994,0.02151,"[512, 128, 1024]",4.0,True,False,0.00417,0.22,0.000312,32,relu,0.28,1032562,199
72,0.7983,0.02163,"[512, 128, 1024, 512]",4.0,True,False,0.00283,0.2,0.00027,32,relu,0.19,1555314,182
59,0.7983,0.02162,"[512, 128, 1024, 64]",4.0,True,False,0.00494,0.19,0.000434,32,relu,0.18,1094322,359
77,0.7983,0.02162,"[512, 128, 1024]",4.0,True,False,0.00309,0.2,0.000493,32,relu,0.27,1032562,271
42,0.798,0.02165,"[256, 256]",4.0,True,False,0.00143,0.32,0.000303,32,relu,0.22,484594,245
56,0.7977,0.02169,"[512, 128, 1024]",4.0,True,False,0.00281,0.2,0.000429,32,relu,0.26,1032562,245
84,0.7977,0.02169,"[64, 128, 1024]",4.0,True,False,0.003,0.24,0.000475,32,relu,0.16,252594,331
86,0.7973,0.02174,"[64, 128, 1024]",4.0,True,False,0.00309,0.22,0.000501,32,relu,0.32,252594,266
44,0.7971,0.02175,"[256, 256]",4.0,True,False,0.00194,0.31,0.00053,32,relu,0.21,484594,393
64,0.797,0.02176,"[512, 128, 1024, 512]",4.0,True,False,0.00281,0.21,0.000269,32,relu,0.18,1555314,260
65,0.797,0.02176,"[512, 128, 1024, 512]",4.0,True,False,0.0015,0.18,0.000457,32,relu,0.28,1555314,275
76,0.7969,0.02178,"[512, 64, 1024, 64]",4.0,True,False,0.00347,0.16,0.000289,32,relu,0.1,995954,261
55,0.7969,0.02177,"[512, 128, 1024]",4.0,True,False,0.00388,0.22,0.00042,32,relu,0.26,1032562,182
66,0.7968,0.02178,"[512, 128, 1024, 512]",4.0,True,False,0.00498,0.16,0.000516,32,relu,0.28,1555314,255
74,0.7968,0.02179,"[512, 128, 1024, 512]",4.0,True,False,0.00247,0.18,0.00045,32,relu,0.24,1555314,242
40,0.7967,0.0218,"[256, 256]",4.0,True,False,0.0018,0.31,0.000308,32,relu,0.21,484594,344
51,0.7967,0.0218,"[512, 128, 1024]",4.0,True,False,0.00378,0.23,0.000331,32,relu,0.31,1032562,258
82,0.7967,0.0218,"[512, 128, 64, 512]",4.0,True,False,0.00212,0.2,0.00039,32,relu,0.2,939954,274
96,0.7966,0.0218,"[64, 128, 1024]",4.0,True,False,0.00292,0.22,0.000439,32,relu,0.27,252594,217
93,0.7966,0.02181,"[64, 128, 1024]",4.0,True,False,0.00416,0.22,0.000554,32,relu,0.32,252594,245
70,0.7965,0.02182,"[512, 128, 256, 1024]",8.0,True,False,0.00375,0.24,0.000613,32,relu,0.29,1200766,204
67,0.7959,0.02189,"[512, 128, 1024, 64]",32.0,True,False,0.00254,0.2,0.000343,32,relu,0.34,1096198,194
79,0.7959,0.02188,"[512, 128, 1024]",4.0,True,False,0.00277,0.22,0.000483,32,relu,0.29,1032562,324
21,0.7959,0.02188,[1024],16.0,True,False,0.00056,0.01,1.3e-05,64,elu,0.44,1672982,600
91,0.7959,0.02188,"[512, 128, 1024]",4.0,True,False,0.0048,0.25,0.000215,32,relu,0.25,1032562,175
57,0.7959,0.02188,"[512, 128, 1024]",4.0,True,False,0.00273,0.21,0.000425,32,relu,0.26,1032562,199
