z1,z2,z3,z4,z5,z6,z7,z8,z9,province,year,split
0.38985622,-0.034638952,0.91130924,-0.059905984,0.43171877,0.59507394,-0.06645136,-0.7956238,0.13922663,29 Monte Plata,2020,val
0.13618419,-1.0063027,0.8084045,-0.23659447,1.1696203,0.033894036,0.16086635,-0.4694367,0.30268624,29 Monte Plata,2021,val
0.694399,0.23014751,-0.80176246,0.21078482,-0.549309,0.044919044,0.159314,0.66982096,0.29223192,30 Hato Mayor,2015,train
0.5726392,0.97423184,0.51737946,-0.037687607,0.081565455,0.6060851,-0.5888187,0.28244558,0.8587828,30 Hato Mayor,2016,train
-1.0482016,0.14694111,0.45273647,0.45879504,0.9350984,-0.4634174,-0.7993797,-0.7015176,0.5727928,30 Hato Mayor,2017,train
0.056485534,-0.900518,0.24882616,-0.2873925,0.5094147,-1.3917552,-0.4034663,-0.6186827,0.6907926,30 Hato Mayor,2018,train
0.016667185,-0.062304348,-0.84863424,1.1946363,0.33268502,0.21915063,0.23337837,-0.26277956,0.43989384,30 Hato Mayor,2019,train
-0.08187662,0.60880864,0.42028052,0.5459346,0.36284098,-0.5247839,-0.9416194,-0.8498353,0.6021942,30 Hato Mayor,2020,val
0.08762666,-1.3350741,1.1478207,-0.98176646,-0.026053207,-0.06132742,-0.52071255,-0.23548509,-0.2527054,30 Hato Mayor,2021,val
0.45071793,0.7372917,-1.154707,-1.3800589,-0.36151063,-0.15417361,0.69382846,0.24273914,-0.64903367,31 San José de Ocoa,2015,train
0.35945594,2.2302058,0.9590061,-1.2268878,-0.0020456798,-0.2331692,0.07282441,-0.5650384,-0.7569507,31 San José de Ocoa,2016,train
-0.7608291,0.2618133,0.315347,-1.3445656,0.11529241,0.47927174,0.15831766,-1.8374602,-0.6762904,31 San José de Ocoa,2017,train
-0.05942155,-0.27454516,-0.59502196,-1.937273,0.096202254,-0.14530556,0.42138255,-0.7859179,-0.3266275,31 San José de Ocoa,2018,train
-0.10362625,0.49426547,-1.2155752,-0.036688928,-0.40929893,0.60041994,1.3944669,-1.6711615,-1.0049535,31 San José de Ocoa,2019,train
0.0070212693,0.64157015,0.18384884,-1.1146196,-0.069451384,0.5714197,0.4759894,-1.5522922,-0.51945364,31 San José de Ocoa,2020,val
-0.41810423,0.17294022,0.161418,-1.2228593,0.64521265,-0.3852478,0.78707594,-1.6420007,-0.8106531,31 San José de Ocoa,2021,val
0.60493344,-0.7445987,-0.1833888,-1.0189352,-1.8220137,0.8789198,1.2302197,1.6917521,-0.20805645,32 Santo Domingo,2015,train
1.0665759,-0.09261912,1.9289078,-1.0026774,-1.475685,2.0454283,0.7451287,1.6528924,-0.37640417,32 Santo Domingo,2016,train
-0.9834996,-1.4387165,1.9088938,-1.1122105,-0.88304776,1.7164652,0.44918898,0.823375,0.16407907,32 Santo Domingo,2017,train
-0.43512005,-1.7188025,0.85094327,-1.7794197,-1.2140583,0.6447792,0.950643,1.1541808,0.90227187,32 Santo Domingo,2018,train
-0.6313072,-1.335506,0.3949981,-0.028409263,-1.8022636,1.3131738,1.791703,1.2634878,-0.20145644,32 Santo Domingo,2019,train
-0.37823468,-1.2420794,1.9668492,-0.83604497,-1.6104242,1.925647,0.6233648,0.71309626,-0.13502374,32 Santo Domingo,2020,val
-0.6570399,-1.8955731,1.5518197,-1.3594451,-1.2410051,1.4650605,0.92230314,0.9955755,0.42296195,32 Santo Domingo,2021,val
