trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
74,0.7904,0.02247,"[512, 128, 1024, 64]",32.0,True,False,0.00141,0.27,0.000534,64,relu,0.22,1097843,499
38,0.7873,0.02281,"[1024, 128, 64, 512]",,False,False,0.00178,0.37,0.00054,64,leakyrelu,0.17,3653583,109
35,0.7824,0.02333,"[128, 512, 64, 64]",,True,True,0.002,0.34,0.000196,64,leakyrelu,0.37,317683,262
100,0.7813,0.02345,"[64, 64, 512, 1024]",4.0,True,True,0.00346,0.1,0.000228,64,relu,0.33,679883,347
60,0.7811,0.02347,"[512, 128, 512, 64]",8.0,False,False,0.00188,0.25,0.000778,64,relu,0.29,1983503,115
87,0.775,0.02412,"[64, 64, 512, 1024]",4.0,True,True,0.00378,0.12,0.00028,64,relu,0.32,679883,360
2,0.7688,0.02478,[256],4.0,True,True,0.00076,0.22,0.000185,16,elu,0.17,420939,497
37,0.7665,0.02504,"[1024, 512, 64, 512]",,True,True,0.00403,0.02,0.00061,64,leakyrelu,0.28,2254835,175
3,0.7565,0.02611,[1024],32.0,True,True,0.00243,0.28,0.000729,16,leakyrelu,0.36,1693171,146
1,0.7511,0.02668,"[64, 128]",,True,False,0.00017,0.12,0.000366,32,leakyrelu,0.59,118387,600
71,0.7361,0.02829,"[256, 128, 256]",4.0,True,True,0.0036,0.29,0.000432,64,relu,0.24,487627,362
4,0.6565,0.03682,[1024],64.0,False,True,0.00015,0.01,0.000636,64,elu,0.28,3440975,176
41,0.6387,0.03874,"[512, 512, 1024, 256]",4.0,False,True,0.00405,0.28,0.000768,64,leakyrelu,0.35,3765375,127
39,0.6214,0.04059,"[1024, 64, 64, 256]",,True,True,0.00261,0.3,0.00068,64,leakyrelu,0.12,1748147,182
50,-0.1288,0.12101,"[512, 128, 64, 256]",8.0,True,True,0.00177,0.18,0.000637,64,relu,0.16,926883,600
49,-0.1417,0.1224,"[512, 128, 64, 256]",8.0,False,False,0.0011,0.27,0.000883,64,relu,0.22,1838607,137
53,-0.1584,0.12419,"[512, 128, 512, 256]",8.0,True,False,0.00323,0.19,0.000656,64,relu,0.15,1097427,252
61,-0.1617,0.12454,"[512, 1024, 512, 64]",32.0,True,False,0.00152,0.27,0.000725,64,relu,0.15,1917427,600
56,-0.1628,0.12466,"[512, 128, 512, 64]",8.0,True,False,0.00153,0.23,0.000525,64,relu,0.1,997395,586
48,-0.1665,0.12506,"[512, 128, 64]",8.0,True,False,0.00217,0.3,0.000732,64,relu,0.12,906771,502
8,-0.1691,0.12534,"[64, 64, 512, 1024]",4.0,True,True,0.00328,0.25,0.000795,32,leakyrelu,0.12,679883,307
10,-0.1867,0.12722,"[128, 64, 1024]",8.0,True,True,0.00012,0.21,0.000541,64,elu,0.32,298403,600
