z1,z2,z3,z4,z5,z6,z7,province,year,week,split
-4.5850124,-17.155533,-6.1855793,-9.255146,0.475623,14.455682,-1.6578591,01 Distrito Nacional,2015,47,train
-4.646187,-14.495015,-15.28555,-6.275097,5.715056,10.791661,-6.112393,01 Distrito Nacional,2015,48,train
-4.58713,-14.756736,-10.916626,-5.3728375,11.635699,5.568688,-3.5268288,01 Distrito Nacional,2015,49,train
-1.3841202,-13.875782,-11.289902,-3.5660129,9.88724,5.291684,-5.277778,01 Distrito Nacional,2015,50,train
0.50607103,-14.347794,-13.19296,-4.1876483,10.954996,8.676595,-6.6520057,01 Distrito Nacional,2015,51,train
-16.119053,-8.74177,-14.444578,1.9707288,8.842149,-1.0068111,-9.289484,01 Distrito Nacional,2015,52,train
-7.8790984,-12.064563,-25.315073,1.5183665,4.5279613,-1.7079567,-6.2845173,01 Distrito Nacional,2016,1,train
-8.471215,-11.742791,-24.974726,3.1926005,3.5202937,-6.168412,-8.922204,01 Distrito Nacional,2016,2,train
-6.8115225,-11.722482,-25.251219,4.881112,0.16531554,-5.6363516,-9.058334,01 Distrito Nacional,2016,3,train
-10.106873,-8.469422,-27.650158,7.312673,5.2529497,-9.44572,-5.400211,01 Distrito Nacional,2016,4,train
5.0812726,-16.877401,-21.013533,-2.3554778,0.42052734,1.2571403,-5.167153,01 Distrito Nacional,2016,5,train
4.165893,-13.681709,-19.603912,0.0134092765,2.14026,-3.150033,-3.6306973,01 Distrito Nacional,2016,6,train
5.772217,-14.74101,-18.006416,-0.22470698,0.2167515,-1.287768,-1.8121014,01 Distrito Nacional,2016,7,train
5.1332326,-13.757655,-19.193802,1.1740441,0.46724656,-4.2909994,-2.4402452,01 Distrito Nacional,2016,8,train
4.521754,-14.833916,-18.003258,0.3118538,1.5310094,-7.2948074,-2.1003788,01 Distrito Nacional,2016,9,train
10.867488,-9.672748,-5.828992,7.6995,-2.2886786,1.0208447,-4.4605184,01 Distrito Nacional,2016,10,train
6.850095,-6.475354,-7.621059,8.623063,0.81195354,-0.9454827,-2.7522628,01 Distrito Nacional,2016,11,train
6.456506,-7.7812715,-4.817221,7.5010653,0.8648165,-3.836908,-3.3396056,01 Distrito Nacional,2016,12,train
7.060563,-5.8499393,-7.544262,8.989348,0.43632907,-2.4737737,-1.5920346,01 Distrito Nacional,2016,13,train
5.6289086,-8.32056,-11.205432,7.121545,1.7365792,-7.0584393,1.4978145,01 Distrito Nacional,2016,14,train
5.2539005,-9.8289585,-8.9551935,7.2043657,-5.369641,-6.5509777,-3.1828632,01 Distrito Nacional,2016,15,train
4.787868,-10.17825,-6.567791,2.8062217,-4.1125293,-2.9899952,1.6765759,01 Distrito Nacional,2016,16,train
10.024356,-5.225619,-20.970016,4.4594316,7.5474157,-0.57296544,25.50855,01 Distrito Nacional,2016,17,train
6.6655097,-11.687972,-4.692385,0.4974645,1.6609949,0.8085701,17.543634,01 Distrito Nacional,2016,18,train
5.782781,-4.6158147,5.781656,7.485691,2.4259987,0.088791214,9.132831,01 Distrito Nacional,2016,19,train
2.5605254,-5.331755,2.804961,6.899433,-0.59854406,-2.875189,8.7845955,01 Distrito Nacional,2016,20,train
2.4834087,-4.0875645,3.1202664,7.4504733,0.20436472,0.20998915,10.656831,01 Distrito Nacional,2016,21,train
0.7086574,4.6221356,-1.5332829,10.447191,8.921047,4.4438148,20.269415,01 Distrito Nacional,2016,22,train
-0.54847723,-3.1284914,4.084941,7.7418013,0.9439422,-1.9892489,9.020923,01 Distrito Nacional,2016,23,train
-1.5672601,-2.532621,3.9091208,7.51724,-3.5808785,-0.34563792,6.623222,01 Distrito Nacional,2016,24,train
0.91550183,-3.285059,10.136517,7.176515,0.7271071,4.4098067,12.954321,01 Distrito Nacional,2016,25,train
-0.8326765,-2.7248995,8.916653,6.9792633,-1.4758444,4.268327,11.087286,01 Distrito Nacional,2016,26,train
