z1,z2,z3,z4,z5,z6,province,year,week,split
-1.1630342,-7.513757,-4.1361017,1.1049031,4.372502,-4.6812887,01 Distrito Nacional,2015,50,train
-2.0233994,-8.015667,-4.3404655,1.853882,5.211412,-5.249342,01 Distrito Nacional,2015,51,train
1.4203862,-8.413253,-4.973493,-4.0293584,4.354196,-2.0993845,01 Distrito Nacional,2015,52,train
-1.269154,-10.027105,-9.673738,-5.823385,2.7424586,-4.917799,01 Distrito Nacional,2016,1,train
-0.55652833,-8.1651535,-8.352835,-6.5659275,1.3724434,-3.8188121,01 Distrito Nacional,2016,2,train
-0.93950194,-6.8419433,-10.385572,-6.257398,0.962543,-3.6422184,01 Distrito Nacional,2016,3,train
-4.2481866,-7.8832703,-8.617043,-7.7757297,2.0482159,-3.9839509,01 Distrito Nacional,2016,4,train
-3.0775437,-5.9116464,-8.878952,0.9469221,0.31483215,-7.5504785,01 Distrito Nacional,2016,5,train
-4.1952043,-5.4677796,-7.5594497,0.18619561,-0.0867695,-6.578535,01 Distrito Nacional,2016,6,train
-4.9652386,-4.563563,-7.876622,0.6242132,-0.014662516,-6.901202,01 Distrito Nacional,2016,7,train
-4.867283,-3.793794,-7.5543246,-0.21487384,-0.86042994,-6.478041,01 Distrito Nacional,2016,8,train
-4.523606,-3.9522996,-6.4759665,-0.93482774,-1.5458792,-6.023869,01 Distrito Nacional,2016,9,train
-4.490182,1.6847938,-7.4895725,1.7428572,0.7752645,-1.7953738,01 Distrito Nacional,2016,10,train
-7.601394,0.30486456,-8.616388,-0.5130739,1.1549549,-1.235363,01 Distrito Nacional,2016,11,train
-5.9981155,0.16386554,-6.6454086,-1.0386629,0.35962668,-0.5927532,01 Distrito Nacional,2016,12,train
-8.00547,1.3277428,-7.6054063,-0.94393104,0.098301046,-1.5452902,01 Distrito Nacional,2016,13,train
-6.7380853,0.091123715,-5.220802,-1.959342,-1.463416,-3.832957,01 Distrito Nacional,2016,14,train
-4.1390467,1.1162537,-5.8944182,-1.5951483,-1.9227512,-2.8126073,01 Distrito Nacional,2016,15,train
-5.7304173,-0.8175574,-6.8326745,-2.557096,-1.9934134,-3.4056585,01 Distrito Nacional,2016,16,train
-17.387938,0.101780705,0.9350336,-8.47391,1.4534608,-10.698745,01 Distrito Nacional,2016,17,train
-5.3384037,2.5147884,2.822667,1.1507425,-0.078867145,-7.0543256,01 Distrito Nacional,2016,18,train
-3.8525925,3.562963,2.8311017,1.4149574,2.0541275,-1.8776784,01 Distrito Nacional,2016,19,train
-2.8000903,4.160845,2.4079719,0.11500914,0.014859043,-2.2727282,01 Distrito Nacional,2016,20,train
-3.2367094,4.3169146,3.7982256,0.115059845,1.1219053,-2.681337,01 Distrito Nacional,2016,21,train
-8.580203,1.8397672,8.138269,-2.2495234,5.1956606,-4.7419877,01 Distrito Nacional,2016,22,train
-2.0030015,4.261989,3.7081444,-0.9565813,0.8675651,-1.4396551,01 Distrito Nacional,2016,23,train
-0.6548696,4.964884,3.4500725,-1.062574,0.15819901,-1.582098,01 Distrito Nacional,2016,24,train
-2.0307724,3.5871632,5.3259783,-0.7061793,3.0297008,-1.6163355,01 Distrito Nacional,2016,25,train
-0.87491864,4.0482593,5.4337444,-0.9672496,2.51543,-1.5950619,01 Distrito Nacional,2016,26,train
1.596868,0.3965157,2.1835904,-6.708677,2.1396544,0.87121564,01 Distrito Nacional,2016,27,train
2.1038973,1.4305137,1.8689364,-6.8453507,2.306771,1.13642,01 Distrito Nacional,2016,28,train
1.7943888,1.1970371,2.1814237,-6.5917916,1.9028671,0.8232635,01 Distrito Nacional,2016,29,train
0.729087,1.7161459,2.4254942,-6.098848,3.3910594,1.9444796,01 Distrito Nacional,2016,30,train
-5.6439075,-2.457779,9.805909,-10.072494,8.10705,-2.5696955,01 Distrito Nacional,2016,31,train
1.8872609,1.7738078,3.2392132,-5.514141,3.6391733,1.6821961,01 Distrito Nacional,2016,32,train
3.0181384,1.6350836,2.0462685,-5.2449193,2.3440025,1.1898258,01 Distrito Nacional,2016,33,train
0.32495615,2.09269,6.335881,-5.5681434,8.742855,2.87632,01 Distrito Nacional,2016,34,train
2.5694973,4.1471763,4.178921,-1.1458372,2.1534472,-0.7000943,01 Distrito Nacional,2016,35,train
1.9388994,5.671507,4.958711,-0.8997877,5.344913,0.95337826,01 Distrito Nacional,2016,36,train
0.9492615,4.6000614,3.711895,-0.2825042,4.252358,1.6374022,01 Distrito Nacional,2016,37,train
0.710294,3.9570816,4.2695017,-0.4289051,4.6005163,1.5077792,01 Distrito Nacional,2016,38,train
1.1304556,4.0375776,3.6471426,-0.1099106,5.4449434,2.1984894,01 Distrito Nacional,2016,39,train
-8.299584,-3.6653082,10.684715,-1.8339473,9.60338,-5.455177,01 Distrito Nacional,2016,40,train
2.200485,-0.06099852,4.286182,0.2737005,4.9933977,-0.63961524,01 Distrito Nacional,2016,41,train
0.9007116,-0.22260039,3.678209,0.8354982,5.264185,-0.3911686,01 Distrito Nacional,2016,42,train
1.3593152,0.13045137,2.6138463,1.1486909,4.9380617,0.06585598,01 Distrito Nacional,2016,43,train
0.111999966,-0.08844281,2.5173788,1.7892362,5.813923,-0.46853605,01 Distrito Nacional,2016,44,train
0.3496276,-0.6754655,2.0155852,1.4654306,6.2099032,0.24701296,01 Distrito Nacional,2016,45,train
-0.078798726,-1.777387,2.118403,1.7088746,7.5007434,0.2334675,01 Distrito Nacional,2016,46,train
-0.9716076,-1.4286816,0.9388425,2.7445414,8.423832,0.08983276,01 Distrito Nacional,2016,47,train
-2.1283345,-2.8212013,-4.1806107,2.2521548,8.241651,2.740367,01 Distrito Nacional,2016,48,train
-1.5253505,-2.2956245,-3.8821044,1.8713856,7.4392824,2.5931137,01 Distrito Nacional,2016,49,train
-1.9870383,-2.748363,-4.1880193,1.9236919,7.4322057,2.7210329,01 Distrito Nacional,2016,50,train
-2.6253073,-2.1042657,-2.942623,2.6026282,7.1086287,1.2993947,01 Distrito Nacional,2016,51,train
-1.5737839,-4.1401978,-4.1048393,-2.2580972,8.433054,3.9341526,01 Distrito Nacional,2016,52,train
-1.8080206,-3.6576169,-5.9974947,-2.1908736,8.137014,4.1409793,01 Distrito Nacional,2017,1,train
-0.12787485,-1.4204588,-5.6224065,-4.3256855,5.98345,4.7770715,01 Distrito Nacional,2017,2,train
-0.3540885,-0.6096956,-10.496083,-7.8192005,7.7676167,5.030692,01 Distrito Nacional,2017,3,train
-2.8791916,-0.06481404,-10.129945,-4.520496,6.332612,4.3518634,01 Distrito Nacional,2017,4,train
-5.327546,-0.4084987,-8.765038,1.4964867,5.713175,2.9074128,01 Distrito Nacional,2017,5,train
-5.856537,-0.58639854,-7.1493506,1.3403049,4.7228947,1.7528324,01 Distrito Nacional,2017,6,train
-6.1865735,0.020149896,-6.7419176,1.6842371,4.2786593,1.2498376,01 Distrito Nacional,2017,7,train
-5.0741005,1.6954904,-7.9669914,1.5311704,3.208333,1.3316488,01 Distrito Nacional,2017,8,train
-4.1899667,2.170832,-8.3762045,0.73222655,2.427332,1.9074581,01 Distrito Nacional,2017,9,train
-3.974591,4.1707716,-5.3065066,1.2046661,3.923981,3.0504632,01 Distrito Nacional,2017,10,train
-6.453371,3.5949426,-6.6879673,0.13464276,3.2665992,2.6181998,01 Distrito Nacional,2017,11,train
-8.132965,4.939081,-8.234367,-1.1918714,3.5074184,2.446174,01 Distrito Nacional,2017,12,train
-4.9049196,5.2601304,-7.245106,-0.9162495,0.8894806,1.880539,01 Distrito Nacional,2017,13,train
-6.3242784,2.4663782,-6.3201213,-1.8021396,0.19874178,0.9437248,01 Distrito Nacional,2017,14,train
-3.0018198,4.1110835,-7.5852695,-1.2533947,-0.0032272907,1.2469481,01 Distrito Nacional,2017,15,train
-13.510769,-0.5720786,3.901069,-0.8109374,6.2462726,-5.46603,01 Distrito Nacional,2017,16,train
-10.636014,-0.89114475,2.253499,-1.9887851,4.473119,-3.116718,01 Distrito Nacional,2017,17,train
-4.268857,4.1518664,2.3829188,2.232688,1.5933957,-3.396683,01 Distrito Nacional,2017,18,train
-2.6030006,5.904779,1.6392468,1.9554323,0.7679987,-2.6614597,01 Distrito Nacional,2017,19,train
-2.862582,4.1725826,2.8866127,1.2243465,1.9894991,-1.5477237,01 Distrito Nacional,2017,20,train
-1.4198142,4.2045064,2.010804,0.44257408,0.5523726,-1.308418,01 Distrito Nacional,2017,21,train
-1.6159472,4.3754945,2.8411694,1.0107969,1.5866613,-1.8299398,01 Distrito Nacional,2017,22,train
-0.86484045,3.8936706,2.8911953,-0.4901187,-0.31459865,-2.314998,01 Distrito Nacional,2017,23,train
0.21488164,4.492227,2.7798307,0.8328344,0.28535378,-3.2360406,01 Distrito Nacional,2017,24,train
0.8224666,4.2887826,2.948142,0.09602731,0.36449194,-2.9624481,01 Distrito Nacional,2017,25,train
0.7401297,3.0454307,3.7555099,-0.5557641,0.58304846,-2.3954616,01 Distrito Nacional,2017,26,train
3.062274,1.2604393,2.2501078,-6.4782486,3.9136872,1.723639,01 Distrito Nacional,2017,27,train
2.0430102,0.9212062,4.407341,-6.5504084,4.7788177,1.1899048,01 Distrito Nacional,2017,28,train
3.8244884,2.334707,2.4502358,-5.3559017,2.9109962,0.88620675,01 Distrito Nacional,2017,29,train
2.24698,0.6024281,3.8255773,-5.833407,3.3361297,0.5035814,01 Distrito Nacional,2017,30,train
4.654246,2.7413561,2.484418,-5.5815883,2.9245222,0.32713014,01 Distrito Nacional,2017,31,train
3.5948353,1.7372406,3.2801967,-6.057312,4.14918,0.90663433,01 Distrito Nacional,2017,32,train
3.6224465,2.1077504,3.9275658,-5.60238,4.763947,0.856249,01 Distrito Nacional,2017,33,train
2.7639682,0.5264572,3.3513777,-5.474533,3.6795337,1.0757418,01 Distrito Nacional,2017,34,train
2.7723112,2.8805575,4.170168,-0.94773734,1.9606405,-0.80235296,01 Distrito Nacional,2017,35,train
1.1663965,2.1277966,4.945354,-0.8317588,3.7312555,-0.85664374,01 Distrito Nacional,2017,36,train
1.2862749,2.0552416,5.5575256,-0.6972006,3.9447386,-0.8737945,01 Distrito Nacional,2017,37,train
1.572536,1.8022561,5.963512,-0.40623719,5.5225606,-1.0498583,01 Distrito Nacional,2017,38,train
1.305878,2.0175629,5.330368,0.12073849,4.603596,-0.92768157,01 Distrito Nacional,2017,39,train
0.5866063,1.7486645,5.669004,-0.01917164,6.119394,0.132278,01 Distrito Nacional,2017,40,train
1.0791508,2.0806847,4.5207386,0.4795202,6.4068737,0.2879481,01 Distrito Nacional,2017,41,train
0.80001104,1.9296938,3.4027443,0.7092105,6.0860415,1.2297717,01 Distrito Nacional,2017,42,train
0.8103834,1.9378536,2.7845898,1.1438724,6.1482,1.5998192,01 Distrito Nacional,2017,43,train
1.2366997,1.7830751,1.6267375,1.1545693,5.9071326,2.140657,01 Distrito Nacional,2017,44,train
-2.7192507,-6.739741,9.89108,-1.2807614,16.732973,-2.275288,01 Distrito Nacional,2017,45,train
-4.682289,-5.70278,8.244387,-0.7898572,15.559343,-0.9139928,01 Distrito Nacional,2017,46,train
-0.054753914,0.8564998,1.4172478,1.9651973,9.446604,3.2298117,01 Distrito Nacional,2017,47,train
-2.176127,-1.6019642,-3.8991442,2.0047634,7.962491,4.065524,01 Distrito Nacional,2017,48,train
-1.6331547,-2.4765797,-4.4353695,2.0459938,7.714392,2.9456267,01 Distrito Nacional,2017,49,train
-1.3938789,-2.0014358,-5.914714,2.8975527,8.167323,3.0451183,01 Distrito Nacional,2017,50,train
-0.94194657,-1.3155935,-4.938113,2.1287408,6.5557246,3.0457633,01 Distrito Nacional,2017,51,train
-0.9567176,-2.9562306,-4.6392136,-1.8090323,7.8623977,4.3005548,01 Distrito Nacional,2017,52,train
-4.01316,-1.5957072,-1.9599655,-1.600174,11.286171,6.0175257,01 Distrito Nacional,2018,1,train
-4.446775,-0.6794115,-1.9343889,-2.4449975,10.266833,5.605384,01 Distrito Nacional,2018,2,train
-3.9893818,0.04288945,-2.1015658,-3.0823495,7.936201,5.1823225,01 Distrito Nacional,2018,3,train
-3.4780803,1.0106055,-3.0374684,-3.258654,7.0729103,5.732143,01 Distrito Nacional,2018,4,train
-3.7599165,3.1096244,-5.360104,2.6915424,7.1511807,4.583577,01 Distrito Nacional,2018,5,train
-5.1106696,0.42675894,-4.181321,3.1678247,4.483444,0.179802,01 Distrito Nacional,2018,6,train
-5.0612106,1.8776141,-4.975653,4.2302637,4.237588,-0.34183386,01 Distrito Nacional,2018,7,train
-4.140317,2.6410825,-5.725985,3.2970471,3.2556949,0.024539622,01 Distrito Nacional,2018,8,train
-5.4921336,4.607733,-8.622393,4.5708766,4.0154552,-1.2402819,01 Distrito Nacional,2018,9,train
-5.469799,5.919284,-5.5337777,1.35388,5.3500824,4.1973376,01 Distrito Nacional,2018,10,train
-6.520747,3.949159,-3.0304844,0.0821706,4.5357275,4.0638123,01 Distrito Nacional,2018,11,train
-6.420674,5.999562,-5.86509,-0.81845176,4.821553,5.2497497,01 Distrito Nacional,2018,12,train
-2.7515287,8.052157,-4.536261,1.00233,3.5840409,3.713274,01 Distrito Nacional,2018,13,train
-6.9402614,5.691109,-4.057944,-0.9821292,0.05998343,0.29616594,01 Distrito Nacional,2018,14,train
-6.2525816,5.8338003,-3.8790278,-1.405898,0.19133542,0.8590364,01 Distrito Nacional,2018,15,train
-7.42214,5.833429,-2.6089387,-1.6338117,0.5790105,0.3237444,01 Distrito Nacional,2018,16,train
-5.829592,4.833966,-2.2268488,-1.9319135,-0.02632964,0.56491774,01 Distrito Nacional,2018,17,train
-5.2138896,6.8464885,1.9524024,-0.33917454,1.504046,-0.09469281,01 Distrito Nacional,2018,18,train
-5.4321036,6.7378554,2.0001118,-1.7193892,0.83246267,0.018819777,01 Distrito Nacional,2018,19,train
-4.8874755,7.550097,1.6748465,-2.2219417,0.5205286,0.032729357,01 Distrito Nacional,2018,20,train
-4.6577134,7.4615874,2.0978968,-3.2277253,-0.66333133,-0.57236725,01 Distrito Nacional,2018,21,train
-4.6600256,6.2862563,2.8801491,-3.9133708,-0.77158463,-0.821989,01 Distrito Nacional,2018,22,train
-3.6380813,6.1501455,2.461696,-4.577228,-2.958808,-1.9574871,01 Distrito Nacional,2018,23,train
-2.9171596,5.7254777,2.2985265,-4.9972444,-2.6765847,-1.3666546,01 Distrito Nacional,2018,24,train
-4.4393187,7.167292,5.032541,-6.8012013,0.78428024,-0.10968074,01 Distrito Nacional,2018,25,train
-1.2328314,6.420655,2.0037634,-5.7406106,-1.9577503,-0.27335098,01 Distrito Nacional,2018,26,train
2.3152075,5.782188,-0.027415501,-8.596784,-0.93372446,0.7885471,01 Distrito Nacional,2018,27,train
-2.0873258,3.8607903,3.6959603,-10.010552,2.1810236,0.80606717,01 Distrito Nacional,2018,28,train
-1.7891582,2.7836137,3.00504,-9.140923,1.3880186,0.60524714,01 Distrito Nacional,2018,29,train
-0.7925685,3.5120246,1.8982178,-9.321651,1.0317398,1.352374,01 Distrito Nacional,2018,30,train
0.080924585,3.308116,1.9251585,-9.339591,0.09124584,0.22720943,01 Distrito Nacional,2018,31,train
-0.7257522,0.54085207,3.5498958,-10.037231,1.6490961,-0.9799769,01 Distrito Nacional,2018,32,train
-0.4938494,0.16808924,3.3067224,-10.41878,1.7945013,-0.62353706,01 Distrito Nacional,2018,33,train
0.2680965,0.25837815,2.3981154,-10.4575815,1.4179188,0.0647286,01 Distrito Nacional,2018,34,train
-4.90028,-1.0223408,8.950815,-2.352875,3.9232652,-6.31212,01 Distrito Nacional,2018,35,train
1.5759279,2.5608368,5.2916102,-0.8232829,0.69560784,-4.415803,01 Distrito Nacional,2018,36,train
1.424676,2.1237907,5.3740664,-0.32899696,1.2818757,-4.8755,01 Distrito Nacional,2018,37,train
0.70246506,1.0069224,5.0886493,-0.14854819,1.5170722,-4.0500436,01 Distrito Nacional,2018,38,train
0.008352489,1.0324935,5.4227457,0.48522645,2.1732326,-5.209685,01 Distrito Nacional,2018,39,train
1.7288152,-0.20472775,5.156714,2.1083665,4.1159186,-4.5604978,01 Distrito Nacional,2018,40,train
-4.470249,-4.212133,8.061385,0.77550256,7.5224442,-6.9196897,01 Distrito Nacional,2018,41,train
1.8813692,-0.40959394,1.6768599,1.6741006,3.0737507,-2.5363827,01 Distrito Nacional,2018,42,train
2.6430182,-0.8196907,1.3251221,1.5642468,3.3326328,-2.0417223,01 Distrito Nacional,2018,43,train
2.1796174,-0.69134027,0.671128,2.253272,3.7185705,-2.4454455,01 Distrito Nacional,2018,44,train
1.3366638,-2.3800619,1.0815467,2.3920658,4.7405186,-2.9395483,01 Distrito Nacional,2018,45,train
0.57876176,-4.4039907,1.8701884,1.7114698,6.352541,-2.802373,01 Distrito Nacional,2018,46,train
2.712813,-3.4723759,-0.45949447,3.049838,5.961733,-2.4470067,01 Distrito Nacional,2018,47,train
-1.2904582,-4.716247,-4.583623,2.3257642,5.472016,-1.2677529,01 Distrito Nacional,2018,48,train
-0.019927504,-4.3253183,-5.3175454,2.0590305,5.747977,0.43484908,01 Distrito Nacional,2018,49,train
-0.6972762,-4.894837,-5.726884,3.5127258,7.047383,-0.3566724,01 Distrito Nacional,2018,50,train
-0.4334232,-4.6982965,-7.5932846,4.1963215,7.7656975,-0.35151094,01 Distrito Nacional,2018,51,train
2.2318342,-4.33746,-6.096838,-1.895404,5.651985,2.3611383,01 Distrito Nacional,2018,52,train
0.49996907,-4.3535023,-7.661664,-3.448793,5.554024,1.9503062,01 Distrito Nacional,2019,1,train
-2.0051951,-4.5808964,-9.98917,-3.9233553,6.17366,1.8951502,01 Distrito Nacional,2019,2,train
-3.04676,-3.6854136,-10.425716,-5.0283475,5.5458417,2.0208988,01 Distrito Nacional,2019,3,train
-3.3303528,-3.4619887,-8.589103,-6.174145,4.6594343,2.1190364,01 Distrito Nacional,2019,4,train
-5.6738696,-2.768652,-9.745541,2.707754,4.8977866,-1.2655545,01 Distrito Nacional,2019,5,train
-4.2605176,-2.63463,-7.74842,1.9638412,2.1354742,-3.6398487,01 Distrito Nacional,2019,6,train
-4.924425,-2.7068272,-7.5387244,1.1279943,1.558799,-3.3463218,01 Distrito Nacional,2019,7,train
-3.3513608,-0.9890898,-8.219406,1.1351966,0.4143194,-2.7765465,01 Distrito Nacional,2019,8,train
-2.8367906,0.049140546,-9.278791,0.84303117,0.02892111,-2.9671135,01 Distrito Nacional,2019,9,train
-5.808681,1.3548095,-9.008447,1.4336853,1.7073426,-1.6713083,01 Distrito Nacional,2019,10,train
-5.4397793,2.3170815,-6.587812,2.118539,0.799304,-2.065249,01 Distrito Nacional,2019,11,train
-7.4809365,3.4174244,-6.2692003,1.8964742,0.36793253,-3.3082771,01 Distrito Nacional,2019,12,train
-8.639912,1.4056628,-3.8638473,-0.57177633,-0.0038381,-3.0917048,01 Distrito Nacional,2019,13,train
-6.247232,3.6017702,-4.936448,-0.18382165,-0.67291605,-1.3822803,01 Distrito Nacional,2019,14,train
-7.108563,3.6650155,-2.9521873,-0.40346232,-0.6898878,-2.2443855,01 Distrito Nacional,2019,15,train
-5.668981,4.1954436,-3.358085,-0.40679,-1.0932171,-1.579186,01 Distrito Nacional,2019,16,train
-5.963561,4.168736,-4.0654716,-1.6117793,-1.2734764,-1.3288678,01 Distrito Nacional,2019,17,train
-3.3486338,5.6539826,0.56484777,0.9610418,-0.8404551,-3.0041392,01 Distrito Nacional,2019,18,train
-2.4557114,5.0029893,1.0390759,1.2025898,-1.4090947,-4.4145546,01 Distrito Nacional,2019,19,train
-2.6136305,3.8618822,1.7667458,-0.6218541,-1.539139,-3.111958,01 Distrito Nacional,2019,20,train
