z1,z2,province,year,week,split
-5.365864,5.2173905,01 Distrito Nacional,2016,42,train
-4.6732326,4.5061245,01 Distrito Nacional,2016,43,train
-4.6204076,4.9789095,01 Distrito Nacional,2016,44,train
-4.5115166,5.1336064,01 Distrito Nacional,2016,45,train
-4.526054,5.6339755,01 Distrito Nacional,2016,46,train
-4.0803795,5.614038,01 Distrito Nacional,2016,47,train
9.704067,7.868896,01 Distrito Nacional,2016,48,train
9.390651,7.677922,01 Distrito Nacional,2016,49,train
9.375343,7.6270995,01 Distrito Nacional,2016,50,train
9.402255,7.5751615,01 Distrito Nacional,2016,51,train
0.96174324,19.533016,01 Distrito Nacional,2016,52,train
2.084771,18.62074,01 Distrito Nacional,2017,1,train
2.6461675,16.605606,01 Distrito Nacional,2017,2,train
6.3827205,19.722754,01 Distrito Nacional,2017,3,train
4.6545553,17.29211,01 Distrito Nacional,2017,4,train
10.629363,7.024335,01 Distrito Nacional,2017,5,train
10.480818,6.618708,01 Distrito Nacional,2017,6,train
11.367077,6.9162107,01 Distrito Nacional,2017,7,train
13.744444,4.8285284,01 Distrito Nacional,2017,8,train
12.599234,2.8382623,01 Distrito Nacional,2017,9,train
13.984746,1.9489304,01 Distrito Nacional,2017,10,train
16.502693,-0.34765115,01 Distrito Nacional,2017,11,train
18.147102,-3.0681727,01 Distrito Nacional,2017,12,train
16.301947,0.29016796,01 Distrito Nacional,2017,13,train
14.467341,-0.6436246,01 Distrito Nacional,2017,14,train
13.606214,-0.074385494,01 Distrito Nacional,2017,15,train
16.734165,-13.710101,01 Distrito Nacional,2017,16,train
16.934286,-13.692744,01 Distrito Nacional,2017,17,train
9.0145445,-15.781011,01 Distrito Nacional,2017,18,train
7.1930523,-14.900176,01 Distrito Nacional,2017,19,train
7.146628,-13.701598,01 Distrito Nacional,2017,20,train
5.081872,-12.283112,01 Distrito Nacional,2017,21,train
4.5806236,-12.152406,01 Distrito Nacional,2017,22,train
2.42368,-10.462544,01 Distrito Nacional,2017,23,train
0.9239087,-10.203996,01 Distrito Nacional,2017,24,train
-0.38404348,-9.713881,01 Distrito Nacional,2017,25,train
-0.22725624,-8.9889765,01 Distrito Nacional,2017,26,train
-17.013151,-1.5414981,01 Distrito Nacional,2017,27,train
-18.277092,-0.2436198,01 Distrito Nacional,2017,28,train
-17.034946,-2.2336285,01 Distrito Nacional,2017,29,train
-17.817623,-0.7085595,01 Distrito Nacional,2017,30,train
-17.422197,-2.5853608,01 Distrito Nacional,2017,31,train
-18.626034,-1.1131115,01 Distrito Nacional,2017,32,train
-18.238102,-0.66419035,01 Distrito Nacional,2017,33,train
-17.801886,-0.4510347,01 Distrito Nacional,2017,34,train
-5.6367416,2.1692286,01 Distrito Nacional,2017,35,train
-6.3067274,2.7274263,01 Distrito Nacional,2017,36,train
-5.980542,2.7266226,01 Distrito Nacional,2017,37,train
-6.1929765,3.2958775,01 Distrito Nacional,2017,38,train
-5.643784,2.9758368,01 Distrito Nacional,2017,39,train
-5.5205784,3.9221385,01 Distrito Nacional,2017,40,train
-5.094389,4.024275,01 Distrito Nacional,2017,41,train
-4.9367385,4.3291235,01 Distrito Nacional,2017,42,train
-4.357009,4.0335927,01 Distrito Nacional,2017,43,train
-4.0122824,3.9583926,01 Distrito Nacional,2017,44,train
-13.029381,16.016596,01 Distrito Nacional,2017,45,train
-12.385459,15.545849,01 Distrito Nacional,2017,46,train
-3.7830436,4.8293295,01 Distrito Nacional,2017,47,train
9.592964,7.792082,01 Distrito Nacional,2017,48,train
9.442067,7.592103,01 Distrito Nacional,2017,49,train
9.735139,7.8157897,01 Distrito Nacional,2017,50,train
9.018985,7.1404023,01 Distrito Nacional,2017,51,train
0.88344634,18.603666,01 Distrito Nacional,2017,52,train
-0.69976634,21.584711,01 Distrito Nacional,2018,1,train
-0.5569358,21.0717,01 Distrito Nacional,2018,2,train
0.12125031,20.4861,01 Distrito Nacional,2018,3,train
0.6362687,18.810917,01 Distrito Nacional,2018,4,train
11.722643,8.126013,01 Distrito Nacional,2018,5,train
10.192173,6.476856,01 Distrito Nacional,2018,6,train
11.144904,6.8213887,01 Distrito Nacional,2018,7,train
12.268007,4.7387924,01 Distrito Nacional,2018,8,train
17.009447,5.8836064,01 Distrito Nacional,2018,9,train
19.02604,1.0075237,01 Distrito Nacional,2018,10,train
17.90228,-4.3058987,01 Distrito Nacional,2018,11,train
18.309729,-2.7964303,01 Distrito Nacional,2018,12,train
18.05869,0.018839054,01 Distrito Nacional,2018,13,train
16.436953,-1.6919092,01 Distrito Nacional,2018,14,train
15.699879,-1.8961948,01 Distrito Nacional,2018,15,train
16.861662,-3.7408175,01 Distrito Nacional,2018,16,train
16.044083,-3.4234507,01 Distrito Nacional,2018,17,train
8.5238905,-16.012482,01 Distrito Nacional,2018,18,train
8.055844,-15.538593,01 Distrito Nacional,2018,19,train
6.3459206,-15.053696,01 Distrito Nacional,2018,20,train
5.3486094,-13.879487,01 Distrito Nacional,2018,21,train
4.556406,-12.456987,01 Distrito Nacional,2018,22,train
2.1305864,-11.298284,01 Distrito Nacional,2018,23,train
0.7921592,-10.470299,01 Distrito Nacional,2018,24,train
1.0938046,-10.30085,01 Distrito Nacional,2018,25,train
-1.6058325,-9.77631,01 Distrito Nacional,2018,26,train
-17.758846,-6.080074,01 Distrito Nacional,2018,27,train
-17.55263,-1.787248,01 Distrito Nacional,2018,28,train
-17.7097,-1.7021048,01 Distrito Nacional,2018,29,train
-17.43783,-2.939273,01 Distrito Nacional,2018,30,train
-16.935993,-3.5727174,01 Distrito Nacional,2018,31,train
-16.366442,-2.761884,01 Distrito Nacional,2018,32,train
-16.400236,-2.725053,01 Distrito Nacional,2018,33,train
-16.235485,-3.0641448,01 Distrito Nacional,2018,34,train
-12.396348,10.344444,01 Distrito Nacional,2018,35,train
-4.2654724,0.73245573,01 Distrito Nacional,2018,36,train
-4.188376,0.7127712,01 Distrito Nacional,2018,37,train
-4.4205666,0.524261,01 Distrito Nacional,2018,38,train
-4.164951,0.8106831,01 Distrito Nacional,2018,39,train
-3.3610506,1.9861848,01 Distrito Nacional,2018,40,train
-12.479326,12.377744,01 Distrito Nacional,2018,41,train
-3.0919383,2.1476269,01 Distrito Nacional,2018,42,train
-2.8423629,2.2460763,01 Distrito Nacional,2018,43,train
-2.550756,2.412022,01 Distrito Nacional,2018,44,train
-2.2602093,2.4664557,01 Distrito Nacional,2018,45,train
-1.9498101,2.4623303,01 Distrito Nacional,2018,46,train
-1.8812816,2.5379279,01 Distrito Nacional,2018,47,train
9.283558,8.752118,01 Distrito Nacional,2018,48,train
9.124344,8.410122,01 Distrito Nacional,2018,49,train
9.797917,8.975783,01 Distrito Nacional,2018,50,train
11.02162,10.19512,01 Distrito Nacional,2018,51,train
4.1505814,14.545334,01 Distrito Nacional,2018,52,train
4.882129,14.473176,01 Distrito Nacional,2019,1,train
6.195932,15.996716,01 Distrito Nacional,2019,2,train
6.631353,16.483286,01 Distrito Nacional,2019,3,train
5.496599,15.439583,01 Distrito Nacional,2019,4,train
12.079163,6.664608,01 Distrito Nacional,2019,5,train
11.87279,5.6681056,01 Distrito Nacional,2019,6,train
11.770076,5.2165346,01 Distrito Nacional,2019,7,train
