z1,z2,z3,z4,province,year,week,split
-0.4687092,-14.369891,-3.935674,-9.098849,01 Distrito Nacional,2016,14,train
-3.5390377,-13.94019,-3.1748087,-12.254662,01 Distrito Nacional,2016,15,train
-0.5480921,-13.289996,-2.4389675,-10.248868,01 Distrito Nacional,2016,16,train
13.508834,-13.682351,-6.3845973,-9.810553,01 Distrito Nacional,2016,17,train
1.2580988,-2.769231,-16.052559,-2.5307155,01 Distrito Nacional,2016,18,train
0.37436727,-1.98618,-14.542697,-1.8652866,01 Distrito Nacional,2016,19,train
0.2294427,0.5697004,-13.876261,-2.5809348,01 Distrito Nacional,2016,20,train
1.044754,1.2856877,-14.203579,-1.6650757,01 Distrito Nacional,2016,21,train
8.499173,-3.5500062,-15.356665,-0.30123734,01 Distrito Nacional,2016,22,train
1.771036,4.5778165,-12.638123,-1.8613743,01 Distrito Nacional,2016,23,train
1.2378632,7.4264884,-12.019578,-2.5441537,01 Distrito Nacional,2016,24,train
2.7845418,6.113907,-11.917454,-0.47174048,01 Distrito Nacional,2016,25,train
2.8823547,8.147206,-11.186702,-1.0437206,01 Distrito Nacional,2016,26,train
-1.8025626,15.504455,2.5133877,-2.064875,01 Distrito Nacional,2016,27,train
-2.3003473,16.317514,2.313987,-2.5060928,01 Distrito Nacional,2016,28,train
-1.7983719,16.34886,2.317548,-2.473836,01 Distrito Nacional,2016,29,train
-1.9503058,15.92314,3.3935313,-1.2539295,01 Distrito Nacional,2016,30,train
-8.053036,15.549828,14.552564,3.0422013,01 Distrito Nacional,2016,31,train
-2.26126,17.155441,2.393232,-0.42324144,01 Distrito Nacional,2016,32,train
-2.7444465,17.200655,0.25062475,-2.5916307,01 Distrito Nacional,2016,33,train
-3.6205604,17.460085,5.979394,4.0616584,01 Distrito Nacional,2016,34,train
5.095285,15.987354,-1.5960037,1.2610242,01 Distrito Nacional,2016,35,train
5.0222735,16.059069,-0.645075,3.5714583,01 Distrito Nacional,2016,36,train
5.1750293,16.023245,-0.3423757,3.0705295,01 Distrito Nacional,2016,37,train
4.93181,15.819037,1.0796716,3.8940501,01 Distrito Nacional,2016,38,train
5.29234,14.203103,1.8219147,4.624286,01 Distrito Nacional,2016,39,train
13.167278,1.6027281,-10.389158,6.017791,01 Distrito Nacional,2016,40,train
4.4398303,12.450123,6.2696447,7.877579,01 Distrito Nacional,2016,41,train
3.111992,11.143778,7.763455,9.385973,01 Distrito Nacional,2016,42,train
4.826453,9.552132,7.3158493,9.722826,01 Distrito Nacional,2016,43,train
3.8460238,8.750229,8.154576,11.047797,01 Distrito Nacional,2016,44,train
3.214156,7.7185073,8.619762,11.103518,01 Distrito Nacional,2016,45,train
1.644259,7.280059,9.466152,12.216832,01 Distrito Nacional,2016,46,train
1.6409844,5.097777,9.05547,13.903333,01 Distrito Nacional,2016,47,train
-1.834218,-3.8268716,9.356039,12.8941765,01 Distrito Nacional,2016,48,train
-1.6334649,-3.9877944,9.252098,12.230008,01 Distrito Nacional,2016,49,train
-1.7915395,-4.1499887,9.411392,12.06516,01 Distrito Nacional,2016,50,train
-2.477998,-4.15988,9.446439,12.26857,01 Distrito Nacional,2016,51,train
-8.079254,-3.1537435,12.747359,10.105875,01 Distrito Nacional,2016,52,train
-9.13467,-4.660795,12.1435,9.604817,01 Distrito Nacional,2017,1,train
-10.315876,-5.525149,10.18724,8.289713,01 Distrito Nacional,2017,2,train
-14.722545,-9.382981,10.69789,9.483413,01 Distrito Nacional,2017,3,train
-12.2206135,-9.0129385,8.915258,8.414185,01 Distrito Nacional,2017,4,train
-4.7892,-12.892231,1.4903504,8.417313,01 Distrito Nacional,2017,5,train
-4.347872,-13.081334,-0.4849681,6.8570027,01 Distrito Nacional,2017,6,train
-4.603178,-14.052693,-1.952433,6.345624,01 Distrito Nacional,2017,7,train
-8.17193,-15.1398115,-2.4036794,4.803877,01 Distrito Nacional,2017,8,train
-9.46063,-14.210076,-2.9462943,2.5431364,01 Distrito Nacional,2017,9,train
-7.6633954,-13.758411,-6.175793,1.9729149,01 Distrito Nacional,2017,10,train
-6.9683194,-13.850688,-9.234402,-0.673865,01 Distrito Nacional,2017,11,train
-6.5726657,-12.546432,-11.727982,-3.4305959,01 Distrito Nacional,2017,12,train
-9.382715,-11.689473,-11.772313,-7.8658295,01 Distrito Nacional,2017,13,train
-2.7531257,-12.28976,-7.6659927,-10.487241,01 Distrito Nacional,2017,14,train
-7.4386253,-12.269498,-6.2426124,-13.924632,01 Distrito Nacional,2017,15,train
7.415018,-12.200489,-9.906589,-3.186469,01 Distrito Nacional,2017,16,train
6.814967,-10.984701,-10.114534,-3.720765,01 Distrito Nacional,2017,17,train
-0.36590388,-2.5400512,-16.10358,-1.2030088,01 Distrito Nacional,2017,18,train
-2.0105886,1.1027279,-16.130625,-1.8504522,01 Distrito Nacional,2017,19,train
0.14296809,0.8575212,-14.078728,-0.9381066,01 Distrito Nacional,2017,20,train
-0.27729607,3.4023223,-13.154842,-2.3437328,01 Distrito Nacional,2017,21,train
0.5729238,4.176502,-13.332974,-1.4099666,01 Distrito Nacional,2017,22,train
0.9400031,5.8567305,-11.772308,-3.3866518,01 Distrito Nacional,2017,23,train
0.7336764,7.9976907,-11.718281,-3.141933,01 Distrito Nacional,2017,24,train
1.55617,9.300232,-10.83636,-3.3959303,01 Distrito Nacional,2017,25,train
2.6520152,9.0303545,-10.000343,-2.8906953,01 Distrito Nacional,2017,26,train
-3.014395,16.732046,1.7917781,-0.8995846,01 Distrito Nacional,2017,27,train
-2.8301291,17.07863,4.331194,1.489359,01 Distrito Nacional,2017,28,train
-3.3427794,16.975481,0.293472,-2.3420851,01 Distrito Nacional,2017,29,train
-2.0140004,16.820019,2.896545,0.0387278,01 Distrito Nacional,2017,30,train
-3.9897199,17.171812,0.05991659,-2.7135296,01 Distrito Nacional,2017,31,train
-3.2187142,17.599333,2.150376,-0.54060704,01 Distrito Nacional,2017,32,train
-3.6304352,16.922335,2.7246587,-0.04888957,01 Distrito Nacional,2017,33,train
-2.5213945,16.996246,3.0627387,0.06884299,01 Distrito Nacional,2017,34,train
4.8844175,15.750642,-0.8316884,1.579372,01 Distrito Nacional,2017,35,train
4.201796,14.958314,1.4629834,3.187948,01 Distrito Nacional,2017,36,train
4.3470745,15.503425,2.875671,3.9119763,01 Distrito Nacional,2017,37,train
4.692512,14.256163,3.8174489,4.7025604,01 Distrito Nacional,2017,38,train
5.2257442,14.587878,4.439663,5.030192,01 Distrito Nacional,2017,39,train
4.0333076,14.206028,5.5929008,6.77548,01 Distrito Nacional,2017,40,train
5.276105,12.451349,5.3230314,7.955078,01 Distrito Nacional,2017,41,train
5.2358894,10.657918,6.4184937,8.584473,01 Distrito Nacional,2017,42,train
5.8418107,9.814301,6.7745595,9.786697,01 Distrito Nacional,2017,43,train
6.277265,8.210374,6.6850514,10.038068,01 Distrito Nacional,2017,44,train
9.056373,-1.7964689,-13.330371,12.285613,01 Distrito Nacional,2017,45,train
10.489709,-3.394118,-12.01342,11.503743,01 Distrito Nacional,2017,46,train
3.6477513,6.231051,8.407837,13.499351,01 Distrito Nacional,2017,47,train
